"comparison","start_atlas","end_atlas","start_period","end_period","species","n_shared_cells","start_occupied_cells","end_occupied_cells","status_change_log10","start_mean_northing_m","national_mean_northing_m","distribution_class","margin_type","start_margin_northing_m","end_margin_northing_m","margin_shift_km","near_ubiquitous","margin_eligible","main_included","exclusion_reason","distribution_label"
"1990s to 2010s","2","3","1990s","2010s","Motacilla_alba",2165,2017,2056,0.00831721211047266,6198387.13744575,6197646.36042169,"northerly","southern margin",6064044.11580312,6063294.11580312,-0.75,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Northerly species
southern margin"
"1990s to 2010s","2","3","1990s","2010s","Oriolus_oriolus",2165,66,22,-0.477121254719662,6150930.47943948,6197646.36042169,"southerly","northern margin",6192294.11580312,,,FALSE,FALSE,FALSE,"end occupied cells < 40","Southerly species
northern margin"
"1990s to 2010s","2","3","1990s","2010s","Parus_major",2165,2064,2092,0.0058519872400629,6198309.5583902,6197646.36042169,"northerly","southern margin",6064294.11580312,6064169.11580312,-0.125,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Northerly species
southern margin"
"1990s to 2010s","2","3","1990s","2010s","Phylloscopus_collybita",2165,1852,2111,0.0568472509617408,6195246.40706302,6197646.36042169,"southerly","northern margin",6375794.11580312,6380544.11580312,4.75,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Southerly species
northern margin"
"1990s to 2010s","2","3","1990s","2010s","Phylloscopus_trochilus",2165,2021,2009,-0.00258637676705485,6198207.46241357,6197646.36042169,"northerly","southern margin",6064169.11580312,6064419.11580312,0.25,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Northerly species
southern margin"
"1990s to 2010s","2","3","1990s","2010s","Regulus_ignicapilla",2165,27,167,0.791352706988596,6101183.00469201,6197646.36042169,"southerly","northern margin",,6257044.11580312,,FALSE,FALSE,FALSE,"start occupied cells < 40","Southerly species
northern margin"
"1990s to 2010s","2","3","1990s","2010s","Remiz_pendulinus",2165,91,29,-0.496643394422138,6180530.5579526,6197646.36042169,"southerly","northern margin",6243669.11580312,,,FALSE,FALSE,FALSE,"end occupied cells < 40","Southerly species
northern margin"
"1990s to 2010s","2","3","1990s","2010s","Serinus_serinus",2165,20,16,-0.0969100130080564,6142791.55053054,6197646.36042169,"southerly","northern margin",,,,FALSE,FALSE,FALSE,"start occupied cells < 40; end occupied cells < 40","Southerly species
northern margin"
"1990s to 2010s","2","3","1990s","2010s","Sturnus_vulgaris",2165,2026,1964,-0.0134979575733308,6198177.0113387,6197646.36042169,"northerly","southern margin",6065044.11580312,6064544.11580312,-0.5,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Northerly species
southern margin"
"1990s to 2010s","2","3","1990s","2010s","Sylvia_atricapilla",2165,1881,2075,0.0426293054977327,6195977.51329146,6197646.36042169,"southerly","northern margin",6379169.11580312,6380544.11580312,1.375,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Southerly species
northern margin"
"1990s to 2010s","2","3","1990s","2010s","Troglodytes_troglodytes",2165,2033,2101,0.0142886737679139,6197838.26806978,6197646.36042169,"northerly","southern margin",6063669.11580312,6064169.11580312,0.5,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Northerly species
southern margin"
"1990s to 2010s","2","3","1990s","2010s","Turdus_merula",2165,2109,2122,0.00266879982583547,6198468.07194334,6197646.36042169,"northerly","southern margin",6064169.11580312,6063794.11580312,-0.375,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Northerly species
southern margin"
"1990s to 2010s","2","3","1990s","2010s","Turdus_philomelos",2165,1918,2024,0.0233619053331167,6196107.58938039,6197646.36042169,"southerly","northern margin",6375044.11580312,6380419.11580312,5.375,TRUE,TRUE,FALSE,"occupied cells > 2000 in at least one atlas","Southerly species
northern margin"
"1990s to 2010s","2","3","1990s","2010s","Asio_flammeus",2165,15,8,-0.273001272063738,6164294.11580312,6197646.36042169,"southerly","northern margin",,,,FALSE,FALSE,FALSE,"start occupied cells < 40; end occupied cells < 40","Southerly species
northern margin"
"1990s to 2010s","2","3","1990s","2010s","Athene_noctua",2165,110,26,-0.626419337187407,6260248.66125766,6197646.36042169,"northerly","southern margin",6195919.11580312,,,FALSE,FALSE,FALSE,"end occupied cells < 40","Northerly species
southern margin"
