"site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","pct_lnd"
"CF51",75,84,9,100
"CF52",56,69,13,100
"CF54",66,86,20,100
"CF55",62,80,18,100
"CF58",52,52,0,100
"CF59",65,60,-5,100
"CF60",74,77,3,92.0834828807869
"CF61",61,79,18,100
"CF62",51,73,22,100
"CF64",67,87,20,99.6167626252403
"CF65",61,69,8,100
"CF69",65,73,8,100
"CF70",67,78,11,60.3246843376533
"CF71",55,52,-3,100
"CF73",50,68,18,100
"CF75",52,55,3,100
"CF78",79,74,-5,100
"CF79",58,56,-2,100
"CF82",76,92,16,100
"CF84",67,50,-17,45.778468813505
"CF86",63,57,-6,100
"CF87",65,66,1,100
"CF89",68,65,-3,100
"CF90",56,53,-3,69.9975665197082
"CF91",52,60,8,57.4774977957222
"CF92",67,58,-9,96.1572828099174
"CF95",70,63,-7,100
"CF98",65,68,3,100
"CG05",61,77,16,100
"CG07",67,74,7,100
"CG09",72,74,2,100
"CG13",55,55,0,100
"CG29",60,47,-13,100
"CG39",68,81,13,100
"CG40",70,85,15,100
"CG42",58,64,6,100
"CG44",65,92,27,100
"CG47",65,74,9,100
"CG48",82,76,-6,100
"CG49",64,67,3,100
"CG50",57,74,17,99.1584277425785
"CG51",78,89,11,98.1631917676952
"CG53",65,75,10,100
"CG54",52,94,42,100
"CG56",50,64,14,100
"CG57",53,71,18,100
"CG58",86,80,-6,100
"CG59",76,80,4,100
"CG61",67,69,2,52.1409196559562
"CG65",62,54,-8,100
"CG66",54,68,14,100
"CG68",69,74,5,100
"CG69",81,70,-11,91.1674889131165
"CG73",57,66,9,78.9572195756507
"CG75",54,57,3,94.8473016073833
"CG78",54,72,18,74.9055871154747
"CG79",72,73,1,95.1023000414998
"CG80",50,56,6,39.7331943091669
"CG83",60,61,1,68.6251113675168
"CG84",44,75,31,97.1407759693279
"CG85",35,68,33,36.0798460262285
"CG89",75,73,-2,62.2756970943883
"CG90",38,67,29,84.3733515730968
"CH06",53,59,6,100
"CH34",60,74,14,100
"CH35",60,81,21,100
"CH45",57,80,23,100
"CH46",75,67,-8,100
"CH48",70,75,5,100
"CH55",87,61,-26,78.6857584092008
"CH56",87,82,-5,100
"CH57",68,92,24,100
"CH58",72,82,10,100
"CH59",63,81,18,72.5486638212771
"CH66",71,50,-21,86.6698695097351
"CH76",49,33,-16,38.0357494214593
"CH77",102,77,-25,90.3801940405882
"CH86",72,51,-21,79.2983993075616
"CH87",49,58,9,77.0862822775507
"CH88",62,60,-2,94.6629726327992
"CH95",77,37,-40,35.9861429734359
"CH96",81,47,-34,45.0894004803143
"CH97",75,79,4,88.9759729646184
"CH99",46,66,20,68.4978793406965
"DB14",37,53,16,100
"DB16",53,46,-7,68.4738489270936
"DB24",51,63,12,100
"DB34",63,74,11,100
"DB35",48,62,14,100
"DB40",64,72,8,100
"DB45",47,54,7,100
"DB54",53,69,16,100
"DB55",60,78,18,100
"DB62",44,47,3,100
"DB64",53,79,26,100
"DB65",46,60,14,100
"DB68",27,65,38,44.8797192716513
