"species","occupied_grid_cells_1970s","occupied_grid_cells_1990s","n_shared_grid_cells","prop_occupied_1970s","prop_occupied_1990s","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","records_1970s","records_1990s","records_2010s","foraging_guild_consensus"
"Phylloscopus_collybita",608,839,895,0.679329608938547,0.937430167597765,231,0.258100558659218,25.8100558659218,"Increase",608,839,889,"Foliage gleaners"
"Falco_tinnunculus",428,647,895,0.478212290502793,0.722905027932961,219,0.244692737430168,24.4692737430168,"Increase",428,647,517,"Diurnal raptors"
"Astur_gentilis",127,332,895,0.141899441340782,0.370949720670391,205,0.229050279329609,22.9050279329609,"Increase",127,332,253,"Diurnal raptors"
"Turdus_pilaris",38,235,895,0.0424581005586592,0.262569832402235,197,0.220111731843575,22.0111731843575,"Increase",38,235,138,"Thrushes"
"Tachybaptus_ruficollis",207,402,895,0.231284916201117,0.449162011173184,195,0.217877094972067,21.7877094972067,"Increase",207,402,439,"Aquatic pursuers"
"Circus_aeruginosus",69,258,895,0.0770949720670391,0.288268156424581,189,0.211173184357542,21.1173184357542,"Increase",69,258,363,"Diurnal raptors"
"Corvus_corax",79,262,895,0.088268156424581,0.292737430167598,183,0.204469273743017,20.4469273743017,"Increase",79,262,560,"Omnivorous corvids"
"Phoenicurus_ochruros",82,265,895,0.0916201117318436,0.29608938547486,183,0.204469273743017,20.4469273743017,"Increase",82,265,338,"Low flycatching feeders"
"Certhia_familiaris",366,544,895,0.408938547486034,0.607821229050279,178,0.198882681564246,19.8882681564246,"Increase",366,544,553,"Tit-like birds"
"Streptopelia_decaocto",554,731,895,0.618994413407821,0.816759776536313,177,0.197765363128492,19.7765363128492,"Increase",554,731,670,"Columbids"
"Loxia_curvirostra",90,256,895,0.100558659217877,0.286033519553073,166,0.185474860335196,18.5474860335196,"Increase",90,256,178,"Passerine seedeaters"
"Pyrrhula_pyrrhula",427,590,895,0.477094972067039,0.659217877094972,163,0.182122905027933,18.2122905027933,"Increase",427,590,656,"Passerine seedeaters"
"Garrulus_glandarius",540,697,895,0.603351955307263,0.77877094972067,157,0.175418994413408,17.5418994413408,"Increase",540,697,524,"Omnivorous corvids"
"Anser_anser",150,301,895,0.167597765363128,0.336312849162011,151,0.168715083798883,16.8715083798883,"Increase",150,301,589,"Grazing waterfowl"
"Asio_otus",232,379,895,0.259217877094972,0.423463687150838,147,0.164245810055866,16.4245810055866,"Increase",232,379,295,"Owls"
"Dendrocopos_major",652,799,895,0.728491620111732,0.892737430167598,147,0.164245810055866,16.4245810055866,"Increase",652,799,811,"Woodpeckers"
"Acrocephalus_palustris",482,623,895,0.53854748603352,0.69608938547486,141,0.157541899441341,15.7541899441341,"Increase",482,623,720,"Marsh warblers"
"Columba_oenas",34,173,895,0.0379888268156425,0.193296089385475,139,0.155307262569832,15.5307262569832,"Increase",34,173,386,"Columbids"
"Aythya_fuligula",92,229,895,0.102793296089385,0.25586592178771,137,0.153072625698324,15.3072625698324,"Increase",92,229,207,"Diving ducks"
"Coccothraustes_coccothraustes",232,367,895,0.259217877094972,0.410055865921788,135,0.150837988826816,15.0837988826816,"Increase",232,367,377,"Passerine seedeaters"
"Carduelis_carduelis",523,657,895,0.584357541899441,0.734078212290503,134,0.149720670391061,14.9720670391061,"Increase",523,657,702,"Passerine seedeaters"
"Podiceps_grisegena",174,307,895,0.194413407821229,0.343016759776536,133,0.148603351955307,14.8603351955307,"Increase",174,307,362,"Aquatic pursuers"
"Muscicapa_striata",419,548,895,0.468156424581006,0.612290502793296,129,0.144134078212291,14.4134078212291,"Increase",419,548,503,"Flycatchers"
"Corvus_frugilegus",180,304,895,0.201117318435754,0.339664804469274,124,0.13854748603352,13.854748603352,"Increase",180,304,411,"Omnivorous corvids"
"Locustella_naevia",146,265,895,0.163128491620112,0.29608938547486,119,0.132960893854749,13.2960893854749,"Increase",146,265,286,"Marsh warblers"
"Fulica_atra",709,825,895,0.792178770949721,0.921787709497207,116,0.129608938547486,12.9608938547486,"Increase",709,825,656,"Rails"
