"survey","coverage","site","atlas","period","species_richness","raw_species_pool_size","pct_lnd"
"BH57_1","Good","BH57","1","1970s",68,201,53.1740038115592
"BH58_1","Good","BH58","1","1970s",58,201,36.0359322349264
"BH59_1","Good","BH59","1","1970s",55,201,58.2094353209987
"BH66_1","Good","BH66","1","1970s",58,201,100
"BH67_1","Good","BH67","1","1970s",67,201,100
"BH68_1","Good","BH68","1","1970s",57,201,100
"BH69_1","Good","BH69","1","1970s",63,201,100
"BH76_1","Good","BH76","1","1970s",76,201,100
"BH77_1","Good","BH77","1","1970s",87,201,100
"BH78_1","Good","BH78","1","1970s",64,201,100
"BH79_1","Good","BH79","1","1970s",63,201,100
"BH86_1","Good","BH86","1","1970s",47,201,100
"BH87_1","Good","BH87","1","1970s",86,201,100
"BH88_1","Good","BH88","1","1970s",63,201,100
"BH89_1","Good","BH89","1","1970s",60,201,100
"BH96_1","Good","BH96","1","1970s",51,201,100
"BH97_1","Good","BH97","1","1970s",63,201,100
"BH99_1","Good","BH99","1","1970s",95,201,100
"CC04_1","Good","CC04","1","1970s",68,201,97.6915925236043
"CC05_1","Good","CC05","1","1970s",48,201,100
"CC06_1","Good","CC06","1","1970s",63,201,95.0939311489514
"CC14_1","Good","CC14","1","1970s",40,201,74.2985797171558
"CC16_1","Good","CC16","1","1970s",51,201,66.6923075088162
"CC23_1","Good","CC23","1","1970s",58,201,37.5625086392495
"CC24_1","Good","CC24","1","1970s",55,201,99.9687592292757
"CC25_1","Good","CC25","1","1970s",45,201,100
"CC31_1","Good","CC31","1","1970s",55,201,100
"CC35_1","Good","CC35","1","1970s",43,201,100
"CC36_1","Good","CC36","1","1970s",59,201,81.1049903598051
"CC41_1","Good","CC41","1","1970s",52,201,100
"CC46_1","Good","CC46","1","1970s",73,201,99.4126900796323
"CC50_1","Good","CC50","1","1970s",55,201,100
"CC53_1","Good","CC53","1","1970s",71,201,89.0326125016613
"CC54_1","Good","CC54","1","1970s",63,201,57.8198622032521
"CC56_1","Good","CC56","1","1970s",73,201,100
"CC57_1","Good","CC57","1","1970s",50,201,68.2665641817273
"CC60_1","Good","CC60","1","1970s",55,201,100
"CC61_1","Good","CC61","1","1970s",75,201,99.0996831886711
"CC62_1","Good","CC62","1","1970s",65,201,75.2309604023349
"CC64_1","Good","CC64","1","1970s",57,201,48.267872939201
"CC65_1","Good","CC65","1","1970s",48,201,100
"CC68_1","Good","CC68","1","1970s",43,201,57.5382109369765
"CC70_1","Good","CC70","1","1970s",72,201,100
"CC72_1","Good","CC72","1","1970s",65,201,84.9339955534113
"CC75_1","Good","CC75","1","1970s",98,201,79.0514381705116
"CC77_1","Good","CC77","1","1970s",61,201,100
"CC80_1","Good","CC80","1","1970s",83,201,100
"CC83_1","Good","CC83","1","1970s",59,201,94.8749392499528
"CC84_1","Good","CC84","1","1970s",41,201,39.9002990703237
"CC85_1","Good","CC85","1","1970s",85,201,88.0171803414787
"CC86_1","Good","CC86","1","1970s",50,201,100
"CC88_1","Good","CC88","1","1970s",47,201,100
"CC92_1","Good","CC92","1","1970s",58,201,100
"CC93_1","Good","CC93","1","1970s",62,201,100
"CC94_1","Good","CC94","1","1970s",63,201,67.6865433444742
"CC95_1","Good","CC95","1","1970s",30,201,46.815369838424
"CC96_1","Good","CC96","1","1970s",60,201,100
"CC97_1","Good","CC97","1","1970s",80,201,100
"CC98_1","Good","CC98","1","1970s",55,201,100
"CD03_1","Good","CD03","1","1970s",73,201,87.7493218512554
"CD04_1","Good","CD04","1","1970s",61,201,58.1458688653336
"CD08_1","Good","CD08","1","1970s",60,201,91.0101244629832
"CD09_1","Good","CD09","1","1970s",55,201,57.7273319267787
"CD11_1","Good","CD11","1","1970s",61,201,100
"CD12_1","Good","CD12","1","1970s",46,201,100
"CD15_1","Good","CD15","1","1970s",47,201,28.407248539923
"CD17_1","Good","CD17","1","1970s",46,201,80.2982792587547
"CD18_1","Good","CD18","1","1970s",43,201,34.5514618644161
"CD20_1","Good","CD20","1","1970s",64,201,100
"CD21_1","Good","CD21","1","1970s",54,201,100
"CD22_1","Good","CD22","1","1970s",57,201,100
"CD31_1","Good","CD31","1","1970s",46,201,100
"CD32_1","Good","CD32","1","1970s",45,201,98.5689230164375
"CD33_1","Good","CD33","1","1970s",74,201,57.5618792524392
"CD36_1","Good","CD36","1","1970s",42,201,34.557789015666
"CD40_1","Good","CD40","1","1970s",68,201,100
"CD42_1","Good","CD42","1","1970s",59,201,100
"CD43_1","Good","CD43","1","1970s",59,201,71.4123372332504
"CD47_1","Good","CD47","1","1970s",60,201,100
"CD50_1","Good","CD50","1","1970s",52,201,100
"CD51_1","Good","CD51","1","1970s",56,201,100
"CD54_1","Good","CD54","1","1970s",60,201,100
"CD57_1","Good","CD57","1","1970s",47,201,100
"CD59_1","Good","CD59","1","1970s",43,201,100
"CD60_1","Good","CD60","1","1970s",65,201,100
"CD62_1","Good","CD62","1","1970s",69,201,100
"CD63_1","Good","CD63","1","1970s",55,201,100
"CD64_1","Good","CD64","1","1970s",50,201,100
"CD67_1","Good","CD67","1","1970s",57,201,100
"CD69_1","Good","CD69","1","1970s",52,201,100
"CD70_1","Good","CD70","1","1970s",52,201,100
"CD71_1","Good","CD71","1","1970s",61,201,100
"CD73_1","Good","CD73","1","1970s",72,201,100
"CD74_1","Good","CD74","1","1970s",70,201,100
"CD75_1","Good","CD75","1","1970s",56,201,100
"CD79_1","Good","CD79","1","1970s",66,201,100
"CD80_1","Good","CD80","1","1970s",52,201,100
"CD82_1","Good","CD82","1","1970s",56,201,100
"CD83_1","Good","CD83","1","1970s",68,201,100
"CD84_1","Good","CD84","1","1970s",74,201,100
"CD85_1","Good","CD85","1","1970s",60,201,100
"CD89_1","Good","CD89","1","1970s",62,201,100
"CD90_1","Good","CD90","1","1970s",62,201,100
"CD92_1","Good","CD92","1","1970s",63,201,100
"CD95_1","Good","CD95","1","1970s",71,201,98.5165148759155
"CD98_1","Good","CD98","1","1970s",56,201,100
"CE00_1","Good","CE00","1","1970s",67,201,100
"CE02_1","Good","CE02","1","1970s",57,201,100
"CE03_1","Good","CE03","1","1970s",43,201,100
"CE09_1","Good","CE09","1","1970s",50,201,100
"CE10_1","Good","CE10","1","1970s",61,201,100
"CE11_1","Good","CE11","1","1970s",42,201,100
"CE15_1","Good","CE15","1","1970s",41,201,100
"CE17_1","Good","CE17","1","1970s",68,201,100
"CE18_1","Good","CE18","1","1970s",64,201,100
"CE19_1","Good","CE19","1","1970s",56,201,100
"CE20_1","Good","CE20","1","1970s",51,201,100
"CE22_1","Good","CE22","1","1970s",60,201,100
"CE25_1","Good","CE25","1","1970s",44,201,100
"CE27_1","Good","CE27","1","1970s",48,201,100
"CE28_1","Good","CE28","1","1970s",52,201,100
"CE29_1","Good","CE29","1","1970s",45,201,100
"CE30_1","Good","CE30","1","1970s",75,201,100
"CE31_1","Good","CE31","1","1970s",71,201,100
"CE34_1","Good","CE34","1","1970s",40,201,100
"CE35_1","Good","CE35","1","1970s",55,201,100
"CE37_1","Good","CE37","1","1970s",40,201,100
"CE38_1","Good","CE38","1","1970s",61,201,100
"CE42_1","Good","CE42","1","1970s",48,201,100
"CE44_1","Good","CE44","1","1970s",59,201,100
