"","order","family","genus","species","ssp"
"9156","Piciformes","Indicatoridae","Indicator","Indicator willcocksi",NA
"9157","Piciformes","Indicatoridae","Indicator","Indicator willcocksi","Indicator willcocksi ansorgei"
"9158","Piciformes","Indicatoridae","Indicator","Indicator willcocksi","Indicator willcocksi willcocksi"
"9159","Piciformes","Indicatoridae","Indicator","Indicator willcocksi","Indicator willcocksi hutsoni"
"9160","Piciformes","Indicatoridae","Indicator","Indicator meliphilus",NA
"9161","Piciformes","Indicatoridae","Indicator","Indicator meliphilus","Indicator meliphilus meliphilus"
"9162","Piciformes","Indicatoridae","Indicator","Indicator meliphilus","Indicator meliphilus angolensis"
"9163","Piciformes","Indicatoridae","Indicator","Indicator exilis",NA
"9164","Piciformes","Indicatoridae","Indicator","Indicator exilis","Indicator exilis poensis"
"9165","Piciformes","Indicatoridae","Indicator","Indicator exilis","Indicator exilis exilis"
"9166","Piciformes","Indicatoridae","Indicator","Indicator exilis","Indicator exilis pachyrhynchus"
"9167","Piciformes","Indicatoridae","Indicator","Indicator minor",NA
"9168","Piciformes","Indicatoridae","Indicator","Indicator minor","Indicator minor ussheri"
"9169","Piciformes","Indicatoridae","Indicator","Indicator minor","Indicator minor conirostris"
"9170","Piciformes","Indicatoridae","Indicator","Indicator minor","Indicator minor senegalensis"
"9171","Piciformes","Indicatoridae","Indicator","Indicator minor","Indicator minor riggenbachi"
"9172","Piciformes","Indicatoridae","Indicator","Indicator minor","Indicator minor diadematus"
"9173","Piciformes","Indicatoridae","Indicator","Indicator minor","Indicator minor teitensis"
"9174","Piciformes","Indicatoridae","Indicator","Indicator minor","Indicator minor damarensis"
"9175","Piciformes","Indicatoridae","Indicator","Indicator minor","Indicator minor minor"
"9176","Piciformes","Indicatoridae","Indicator","Indicator maculatus",NA
"9177","Piciformes","Indicatoridae","Indicator","Indicator maculatus","Indicator maculatus maculatus"
"9178","Piciformes","Indicatoridae","Indicator","Indicator maculatus","Indicator maculatus stictithorax"
"9179","Piciformes","Indicatoridae","Indicator","Indicator variegatus",NA
"9180","Piciformes","Indicatoridae","Indicator","Indicator xanthonotus",NA
"9181","Piciformes","Indicatoridae","Indicator","Indicator xanthonotus","Indicator xanthonotus radcliffii"
"9182","Piciformes","Indicatoridae","Indicator","Indicator xanthonotus","Indicator xanthonotus xanthonotus"
"9183","Piciformes","Indicatoridae","Indicator","Indicator archipelagicus",NA
"9184","Piciformes","Indicatoridae","Indicator","Indicator indicator",NA
"9185","Piciformes","Indicatoridae","Melichneutes","Melichneutes robustus",NA
"9186","Piciformes","Picidae","Jynx","Jynx torquilla",NA
"9187","Piciformes","Picidae","Jynx","Jynx torquilla","Jynx torquilla torquilla"
"9188","Piciformes","Picidae","Jynx","Jynx torquilla","Jynx torquilla sarudnyi"
"9189","Piciformes","Picidae","Jynx","Jynx torquilla","Jynx torquilla chinensis"
"9190","Piciformes","Picidae","Jynx","Jynx torquilla","Jynx torquilla himalayana"
"9191","Piciformes","Picidae","Jynx","Jynx torquilla","Jynx torquilla tschusii"
"9192","Piciformes","Picidae","Jynx","Jynx torquilla","Jynx torquilla mauretanica"
"9193","Piciformes","Picidae","Jynx","Jynx ruficollis",NA
"9194","Piciformes","Picidae","Jynx","Jynx ruficollis","Jynx ruficollis pulchricollis"
"9195","Piciformes","Picidae","Jynx","Jynx ruficollis","Jynx ruficollis aequatorialis"
"9196","Piciformes","Picidae","Jynx","Jynx ruficollis","Jynx ruficollis ruficollis"
"9197","Piciformes","Picidae","Picumnus","Picumnus innominatus",NA
"9198","Piciformes","Picidae","Picumnus","Picumnus innominatus","Picumnus innominatus innominatus"
"9199","Piciformes","Picidae","Picumnus","Picumnus innominatus","Picumnus innominatus malayorum"
"9200","Piciformes","Picidae","Picumnus","Picumnus innominatus","Picumnus innominatus chinensis"
"9201","Piciformes","Picidae","Picumnus","Picumnus aurifrons",NA
"9202","Piciformes","Picidae","Picumnus","Picumnus aurifrons","Picumnus aurifrons aurifrons"
"9203","Piciformes","Picidae","Picumnus","Picumnus aurifrons","Picumnus aurifrons transfasciatus"
"9204","Piciformes","Picidae","Picumnus","Picumnus aurifrons","Picumnus aurifrons borbae"
"9205","Piciformes","Picidae","Picumnus","Picumnus aurifrons","Picumnus aurifrons wallacii"
"9206","Piciformes","Picidae","Picumnus","Picumnus aurifrons","Picumnus aurifrons purusianus"
"9207","Piciformes","Picidae","Picumnus","Picumnus aurifrons","Picumnus aurifrons flavifrons"
"9208","Piciformes","Picidae","Picumnus","Picumnus aurifrons","Picumnus aurifrons juruanus"
"9209","Piciformes","Picidae","Picumnus","Picumnus lafresnayi",NA
"9210","Piciformes","Picidae","Picumnus","Picumnus lafresnayi","Picumnus lafresnayi lafresnayi"
"9211","Piciformes","Picidae","Picumnus","Picumnus lafresnayi","Picumnus lafresnayi punctifrons"
"9212","Piciformes","Picidae","Picumnus","Picumnus lafresnayi","Picumnus lafresnayi taczanowskii"
"9213","Piciformes","Picidae","Picumnus","Picumnus lafresnayi","Picumnus lafresnayi pusillus"
"9214","Piciformes","Picidae","Picumnus","Picumnus pumilus",NA
"9215","Piciformes","Picidae","Picumnus","Picumnus exilis",NA
"9216","Piciformes","Picidae","Picumnus","Picumnus exilis","Picumnus exilis clarus"
"9217","Piciformes","Picidae","Picumnus","Picumnus exilis","Picumnus exilis undulatus"
"9218","Piciformes","Picidae","Picumnus","Picumnus exilis","Picumnus exilis buffonii"
"9219","Piciformes","Picidae","Picumnus","Picumnus exilis","Picumnus exilis pernambucensis"
"9220","Piciformes","Picidae","Picumnus","Picumnus exilis","Picumnus exilis alegriae"
"9221","Piciformes","Picidae","Picumnus","Picumnus exilis","Picumnus exilis exilis"
"9222","Piciformes","Picidae","Picumnus","Picumnus sclateri",NA
"9223","Piciformes","Picidae","Picumnus","Picumnus sclateri","Picumnus sclateri parvistriatus"
"9224","Piciformes","Picidae","Picumnus","Picumnus sclateri","Picumnus sclateri sclateri"
"9225","Piciformes","Picidae","Picumnus","Picumnus sclateri","Picumnus sclateri porcullae"
"9226","Piciformes","Picidae","Picumnus","Picumnus squamulatus",NA
"9227","Piciformes","Picidae","Picumnus","Picumnus squamulatus","Picumnus squamulatus squamulatus"
"9228","Piciformes","Picidae","Picumnus","Picumnus squamulatus","Picumnus squamulatus roehli"
"9229","Piciformes","Picidae","Picumnus","Picumnus squamulatus","Picumnus squamulatus obsoletus"
"9230","Piciformes","Picidae","Picumnus","Picumnus squamulatus","Picumnus squamulatus lovejoyi"
"9231","Piciformes","Picidae","Picumnus","Picumnus squamulatus","Picumnus squamulatus apurensis"
"9232","Piciformes","Picidae","Picumnus","Picumnus spilogaster",NA
"9233","Piciformes","Picidae","Picumnus","Picumnus spilogaster","Picumnus spilogaster orinocensis"
"9234","Piciformes","Picidae","Picumnus","Picumnus spilogaster","Picumnus spilogaster spilogaster"
"9235","Piciformes","Picidae","Picumnus","Picumnus spilogaster","Picumnus spilogaster pallidus"
"9236","Piciformes","Picidae","Picumnus","Picumnus minutissimus",NA
"9237","Piciformes","Picidae","Picumnus","Picumnus pygmaeus",NA
"9238","Piciformes","Picidae","Picumnus","Picumnus steindachneri",NA
"9239","Piciformes","Picidae","Picumnus","Picumnus varzeae",NA
"9240","Piciformes","Picidae","Picumnus","Picumnus cirratus",NA
"9241","Piciformes","Picidae","Picumnus","Picumnus cirratus","Picumnus cirratus macconnelli"
"9242","Piciformes","Picidae","Picumnus","Picumnus cirratus","Picumnus cirratus confusus"
"9243","Piciformes","Picidae","Picumnus","Picumnus cirratus","Picumnus cirratus cirratus"
"9244","Piciformes","Picidae","Picumnus","Picumnus cirratus","Picumnus cirratus pilcomayensis"
"9245","Piciformes","Picidae","Picumnus","Picumnus cirratus","Picumnus cirratus tucumanus"
"9246","Piciformes","Picidae","Picumnus","Picumnus cirratus","Picumnus cirratus thamnophiloides"
"9247","Piciformes","Picidae","Picumnus","Picumnus dorbignyanus",NA
"9248","Piciformes","Picidae","Picumnus","Picumnus dorbignyanus","Picumnus dorbignyanus jelskii"
"9249","Piciformes","Picidae","Picumnus","Picumnus dorbignyanus","Picumnus dorbignyanus dorbignyanus"
"9250","Piciformes","Picidae","Picumnus","Picumnus temminckii",NA
"9251","Piciformes","Picidae","Picumnus","Picumnus albosquamatus",NA
"9252","Piciformes","Picidae","Picumnus","Picumnus albosquamatus","Picumnus albosquamatus albosquamatus"
"9253","Piciformes","Picidae","Picumnus","Picumnus albosquamatus","Picumnus albosquamatus guttifer"
"9254","Piciformes","Picidae","Picumnus","Picumnus fuscus",NA
"9255","Piciformes","Picidae","Picumnus","Picumnus rufiventris",NA
"9256","Piciformes","Picidae","Picumnus","Picumnus rufiventris","Picumnus rufiventris rufiventris"
"9257","Piciformes","Picidae","Picumnus","Picumnus rufiventris","Picumnus rufiventris grandis"
"9258","Piciformes","Picidae","Picumnus","Picumnus rufiventris","Picumnus rufiventris brunneifrons"
"9259","Piciformes","Picidae","Picumnus","Picumnus limae",NA
"9260","Piciformes","Picidae","Picumnus","Picumnus limae","Picumnus limae limae"
"9261","Piciformes","Picidae","Picumnus","Picumnus limae","Picumnus limae fulvescens"
"9262","Piciformes","Picidae","Picumnus","Picumnus nebulosus",NA
"9263","Piciformes","Picidae","Picumnus","Picumnus castelnau",NA
"9264","Piciformes","Picidae","Picumnus","Picumnus subtilis",NA
"9265","Piciformes","Picidae","Picumnus","Picumnus olivaceus",NA
"9266","Piciformes","Picidae","Picumnus","Picumnus olivaceus","Picumnus olivaceus dimotus"
"9267","Piciformes","Picidae","Picumnus","Picumnus olivaceus","Picumnus olivaceus flavotinctus"
"9268","Piciformes","Picidae","Picumnus","Picumnus olivaceus","Picumnus olivaceus olivaceus"
"9269","Piciformes","Picidae","Picumnus","Picumnus olivaceus","Picumnus olivaceus eisenmanni"
"9270","Piciformes","Picidae","Picumnus","Picumnus olivaceus","Picumnus olivaceus tachirensis"
"9271","Piciformes","Picidae","Picumnus","Picumnus olivaceus","Picumnus olivaceus harterti"
"9272","Piciformes","Picidae","Picumnus","Picumnus granadensis",NA
"9273","Piciformes","Picidae","Picumnus","Picumnus granadensis","Picumnus granadensis antioquensis"
"9274","Piciformes","Picidae","Picumnus","Picumnus granadensis","Picumnus granadensis granadensis"
"9275","Piciformes","Picidae","Picumnus","Picumnus cinnamomeus",NA
"9276","Piciformes","Picidae","Picumnus","Picumnus cinnamomeus","Picumnus cinnamomeus cinnamomeus"
"9277","Piciformes","Picidae","Picumnus","Picumnus cinnamomeus","Picumnus cinnamomeus perijanus"
"9278","Piciformes","Picidae","Picumnus","Picumnus cinnamomeus","Picumnus cinnamomeus persaturatus"
"9279","Piciformes","Picidae","Picumnus","Picumnus cinnamomeus","Picumnus cinnamomeus venezuelensis"
"9280","Piciformes","Picidae","Verreauxia","Verreauxia africana",NA
"9281","Piciformes","Picidae","Sasia","Sasia abnormis",NA
"9282","Piciformes","Picidae","Sasia","Sasia abnormis","Sasia abnormis abnormis"
"9283","Piciformes","Picidae","Sasia","Sasia abnormis","Sasia abnormis magnirostris"
"9284","Piciformes","Picidae","Sasia","Sasia ochracea",NA
"9285","Piciformes","Picidae","Sasia","Sasia ochracea","Sasia ochracea ochracea"
"9286","Piciformes","Picidae","Sasia","Sasia ochracea","Sasia ochracea reichenowi"
"9287","Piciformes","Picidae","Sasia","Sasia ochracea","Sasia ochracea kinneari"
"9288","Piciformes","Picidae","Nesoctites","Nesoctites micromegas",NA
"9289","Piciformes","Picidae","Nesoctites","Nesoctites micromegas","Nesoctites micromegas micromegas"
"9290","Piciformes","Picidae","Nesoctites","Nesoctites micromegas","Nesoctites micromegas abbotti"
"9291","Piciformes","Picidae","Hemicircus","Hemicircus concretus",NA
"9292","Piciformes","Picidae","Hemicircus","Hemicircus concretus","Hemicircus concretus sordidus"
"9293","Piciformes","Picidae","Hemicircus","Hemicircus concretus","Hemicircus concretus concretus"
"9294","Piciformes","Picidae","Hemicircus","Hemicircus canente",NA
"9295","Piciformes","Picidae","Melanerpes","Melanerpes candidus",NA
"9296","Piciformes","Picidae","Melanerpes","Melanerpes lewis",NA
"9297","Piciformes","Picidae","Melanerpes","Melanerpes herminieri",NA
"9298","Piciformes","Picidae","Melanerpes","Melanerpes portoricensis",NA
"9299","Piciformes","Picidae","Melanerpes","Melanerpes erythrocephalus",NA
"9300","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus",NA
"9301","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus","Melanerpes formicivorus bairdi"
"9302","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus","Melanerpes formicivorus angustifrons"
"9303","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus","Melanerpes formicivorus formicivorus"
"9304","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus","Melanerpes formicivorus albeolus"
"9305","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus","Melanerpes formicivorus lineatus"
"9306","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus","Melanerpes formicivorus striatipectus"
"9307","Piciformes","Picidae","Melanerpes","Melanerpes formicivorus","Melanerpes formicivorus flavigula"
"9308","Piciformes","Picidae","Melanerpes","Melanerpes cruentatus",NA
"9309","Piciformes","Picidae","Melanerpes","Melanerpes flavifrons",NA
"9310","Piciformes","Picidae","Melanerpes","Melanerpes chrysauchen",NA
"9311","Piciformes","Picidae","Melanerpes","Melanerpes pulcher",NA
"9312","Piciformes","Picidae","Melanerpes","Melanerpes pucherani",NA
"9313","Piciformes","Picidae","Melanerpes","Melanerpes cactorum",NA
"9314","Piciformes","Picidae","Melanerpes","Melanerpes striatus",NA
"9315","Piciformes","Picidae","Melanerpes","Melanerpes radiolatus",NA
"9316","Piciformes","Picidae","Melanerpes","Melanerpes chrysogenys",NA
"9317","Piciformes","Picidae","Melanerpes","Melanerpes chrysogenys","Melanerpes chrysogenys chrysogenys"
"9318","Piciformes","Picidae","Melanerpes","Melanerpes chrysogenys","Melanerpes chrysogenys flavinuchus"
"9319","Piciformes","Picidae","Melanerpes","Melanerpes hypopolius",NA
"9320","Piciformes","Picidae","Melanerpes","Melanerpes pygmaeus",NA
"9321","Piciformes","Picidae","Melanerpes","Melanerpes pygmaeus","Melanerpes pygmaeus tysoni"
"9322","Piciformes","Picidae","Melanerpes","Melanerpes pygmaeus","Melanerpes pygmaeus rubricomus"
"9323","Piciformes","Picidae","Melanerpes","Melanerpes pygmaeus","Melanerpes pygmaeus pygmaeus"
"9324","Piciformes","Picidae","Melanerpes","Melanerpes rubricapillus",NA
"9325","Piciformes","Picidae","Melanerpes","Melanerpes rubricapillus","Melanerpes rubricapillus rubricapillus"
"9326","Piciformes","Picidae","Melanerpes","Melanerpes rubricapillus","Melanerpes rubricapillus subfusculus"
"9327","Piciformes","Picidae","Melanerpes","Melanerpes rubricapillus","Melanerpes rubricapillus seductus"
"9328","Piciformes","Picidae","Melanerpes","Melanerpes rubricapillus","Melanerpes rubricapillus paraguanae"
"9329","Piciformes","Picidae","Melanerpes","Melanerpes uropygialis",NA
"9330","Piciformes","Picidae","Melanerpes","Melanerpes uropygialis","Melanerpes uropygialis uropygialis"
"9331","Piciformes","Picidae","Melanerpes","Melanerpes uropygialis","Melanerpes uropygialis cardonensis"
"9332","Piciformes","Picidae","Melanerpes","Melanerpes uropygialis","Melanerpes uropygialis brewsteri"
"9333","Piciformes","Picidae","Melanerpes","Melanerpes hoffmannii",NA
"9334","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons",NA
"9335","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons aurifrons"
"9336","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons polygrammus"
"9337","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons grateloupensis"
"9338","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons veraecrucis"
"9339","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons dubius"
"9340","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons leei"
"9341","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons turneffensis"
"9342","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons santacruzi"
"9343","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons hughlandi"
"9344","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons pauper"
"9345","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons insulanus"
"9346","Piciformes","Picidae","Melanerpes","Melanerpes aurifrons","Melanerpes aurifrons canescens"
"9347","Piciformes","Picidae","Melanerpes","Melanerpes carolinus",NA
"9348","Piciformes","Picidae","Melanerpes","Melanerpes superciliaris",NA
"9349","Piciformes","Picidae","Melanerpes","Melanerpes superciliaris","Melanerpes superciliaris nyeanus"
"9350","Piciformes","Picidae","Melanerpes","Melanerpes superciliaris","Melanerpes superciliaris blakei"
"9351","Piciformes","Picidae","Melanerpes","Melanerpes superciliaris","Melanerpes superciliaris superciliaris"
"9352","Piciformes","Picidae","Melanerpes","Melanerpes superciliaris","Melanerpes superciliaris murceus"
"9353","Piciformes","Picidae","Melanerpes","Melanerpes superciliaris","Melanerpes superciliaris caymanensis"
"9354","Piciformes","Picidae","Sphyrapicus","Sphyrapicus thyroideus",NA
"9355","Piciformes","Picidae","Sphyrapicus","Sphyrapicus thyroideus","Sphyrapicus thyroideus thyroideus"
"9356","Piciformes","Picidae","Sphyrapicus","Sphyrapicus thyroideus","Sphyrapicus thyroideus nataliae"
"9357","Piciformes","Picidae","Sphyrapicus","Sphyrapicus varius",NA
"9358","Piciformes","Picidae","Sphyrapicus","Sphyrapicus nuchalis",NA
"9359","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber",NA
"9360","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber","Sphyrapicus ruber ruber"
"9361","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber","Sphyrapicus ruber daggetti"
"9362","Piciformes","Picidae","Xiphidiopicus","Xiphidiopicus percussus",NA
"9363","Piciformes","Picidae","Xiphidiopicus","Xiphidiopicus percussus","Xiphidiopicus percussus percussus"
"9364","Piciformes","Picidae","Xiphidiopicus","Xiphidiopicus percussus","Xiphidiopicus percussus insulaepinorum"
"9365","Piciformes","Picidae","Pardipicus","Pardipicus nivosus",NA
"9366","Piciformes","Picidae","Pardipicus","Pardipicus nivosus","Pardipicus nivosus nivosus"
"9367","Piciformes","Picidae","Pardipicus","Pardipicus nivosus","Pardipicus nivosus poensis"
"9368","Piciformes","Picidae","Pardipicus","Pardipicus nivosus","Pardipicus nivosus herberti"
"9369","Piciformes","Picidae","Pardipicus","Pardipicus caroli",NA
"9370","Piciformes","Picidae","Pardipicus","Pardipicus caroli","Pardipicus caroli arizelus"
"9371","Piciformes","Picidae","Pardipicus","Pardipicus caroli","Pardipicus caroli caroli"
"9372","Piciformes","Picidae","Geocolaptes","Geocolaptes olivaceus",NA
"9373","Piciformes","Picidae","Campethera","Campethera punctuligera",NA
"9374","Piciformes","Picidae","Campethera","Campethera punctuligera","Campethera punctuligera punctuligera"
"9375","Piciformes","Picidae","Campethera","Campethera punctuligera","Campethera punctuligera balia"
"9376","Piciformes","Picidae","Campethera","Campethera bennettii",NA
"9377","Piciformes","Picidae","Campethera","Campethera bennettii","Campethera bennettii bennettii"
"9378","Piciformes","Picidae","Campethera","Campethera bennettii","Campethera bennettii capricorni"
"9379","Piciformes","Picidae","Campethera","Campethera scriptoricauda",NA
"9380","Piciformes","Picidae","Campethera","Campethera nubica",NA
"9381","Piciformes","Picidae","Campethera","Campethera nubica","Campethera nubica nubica"
"9382","Piciformes","Picidae","Campethera","Campethera nubica","Campethera nubica pallida"
"9383","Piciformes","Picidae","Campethera","Campethera abingoni",NA
"9384","Piciformes","Picidae","Campethera","Campethera abingoni","Campethera abingoni chrysura"
"9385","Piciformes","Picidae","Campethera","Campethera abingoni","Campethera abingoni kavirondensis"
"9386","Piciformes","Picidae","Campethera","Campethera abingoni","Campethera abingoni suahelica"
"9387","Piciformes","Picidae","Campethera","Campethera abingoni","Campethera abingoni abingoni"
"9388","Piciformes","Picidae","Campethera","Campethera abingoni","Campethera abingoni anderssoni"
"9389","Piciformes","Picidae","Campethera","Campethera abingoni","Campethera abingoni constricta"
"9390","Piciformes","Picidae","Campethera","Campethera mombassica",NA
"9391","Piciformes","Picidae","Campethera","Campethera notata",NA
"9392","Piciformes","Picidae","Campethera","Campethera maculosa",NA
"9393","Piciformes","Picidae","Campethera","Campethera maculosa","Campethera maculosa maculosa"
"9394","Piciformes","Picidae","Campethera","Campethera maculosa","Campethera maculosa permista"
"9395","Piciformes","Picidae","Campethera","Campethera cailliautii",NA
"9396","Piciformes","Picidae","Campethera","Campethera cailliautii","Campethera cailliautii nyansae"
"9397","Piciformes","Picidae","Campethera","Campethera cailliautii","Campethera cailliautii cailliautii"
"9398","Piciformes","Picidae","Campethera","Campethera cailliautii","Campethera cailliautii loveridgei"
"9399","Piciformes","Picidae","Campethera","Campethera tullbergi",NA
"9400","Piciformes","Picidae","Campethera","Campethera taeniolaema",NA
"9401","Piciformes","Picidae","Campethera","Campethera taeniolaema","Campethera taeniolaema taeniolaema"
"9402","Piciformes","Picidae","Campethera","Campethera taeniolaema","Campethera taeniolaema hausburgi"
"9403","Piciformes","Picidae","Yungipicus","Yungipicus temminckii",NA
"9404","Piciformes","Picidae","Yungipicus","Yungipicus nanus",NA
"9405","Piciformes","Picidae","Yungipicus","Yungipicus nanus","Yungipicus nanus nanus"
"9406","Piciformes","Picidae","Yungipicus","Yungipicus nanus","Yungipicus nanus hardwickii"
"9407","Piciformes","Picidae","Yungipicus","Yungipicus nanus","Yungipicus nanus cinereigula"
"9408","Piciformes","Picidae","Yungipicus","Yungipicus nanus","Yungipicus nanus gymnopthalmos"
"9409","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus",NA
"9410","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus doerriesi"
"9411","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus scintilliceps"
"9412","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus kaleensis"
"9413","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus swinhoei"
"9414","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus mitchellii"
"9415","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus semicoronatus"
"9416","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus canicapillus"
"9417","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus delacouri"
"9418","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus auritus"
"9419","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus volzi"
"9420","Piciformes","Picidae","Yungipicus","Yungipicus canicapillus","Yungipicus canicapillus aurantiiventris"
"9421","Piciformes","Picidae","Yungipicus","Yungipicus maculatus",NA
"9422","Piciformes","Picidae","Yungipicus","Yungipicus maculatus","Yungipicus maculatus validirostris"
"9423","Piciformes","Picidae","Yungipicus","Yungipicus maculatus","Yungipicus maculatus fulvifasciatus"
"9424","Piciformes","Picidae","Yungipicus","Yungipicus maculatus","Yungipicus maculatus maculatus"
"9425","Piciformes","Picidae","Yungipicus","Yungipicus ramsayi",NA
"9426","Piciformes","Picidae","Yungipicus","Yungipicus moluccensis",NA
"9427","Piciformes","Picidae","Yungipicus","Yungipicus moluccensis","Yungipicus moluccensis moluccensis"
"9428","Piciformes","Picidae","Yungipicus","Yungipicus moluccensis","Yungipicus moluccensis grandis"
"9429","Piciformes","Picidae","Yungipicus","Yungipicus kizuki",NA
"9430","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki permutatus"
"9431","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki seebohmi"
"9432","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki nippon"
"9433","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki shikokuensis"
"9434","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki kizuki"
"9435","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki matsudairai"
"9436","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki kotataki"
"9437","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki amamii"
"9438","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki nigrescens"
"9439","Piciformes","Picidae","Yungipicus","Yungipicus kizuki","Yungipicus kizuki orii"
"9440","Piciformes","Picidae","Picoides","Picoides tridactylus",NA
"9441","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus tridactylus"
"9442","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus alpinus"
"9443","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus crissoleucus"
"9444","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus albidior"
"9445","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus tianschanicus"
"9446","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus kurodai"
"9447","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus inouyei"
"9448","Piciformes","Picidae","Picoides","Picoides tridactylus","Picoides tridactylus funebris"
"9449","Piciformes","Picidae","Picoides","Picoides dorsalis",NA
"9450","Piciformes","Picidae","Picoides","Picoides dorsalis","Picoides dorsalis fasciatus"
"9451","Piciformes","Picidae","Picoides","Picoides dorsalis","Picoides dorsalis dorsalis"
"9452","Piciformes","Picidae","Picoides","Picoides dorsalis","Picoides dorsalis bacatus"
"9453","Piciformes","Picidae","Picoides","Picoides arcticus",NA
"9454","Piciformes","Picidae","Dendrocoptes","Dendrocoptes dorae",NA
"9455","Piciformes","Picidae","Dendrocoptes","Dendrocoptes auriceps",NA
"9456","Piciformes","Picidae","Dendrocoptes","Dendrocoptes medius",NA
"9457","Piciformes","Picidae","Dendrocoptes","Dendrocoptes medius","Dendrocoptes medius medius"
"9458","Piciformes","Picidae","Dendrocoptes","Dendrocoptes medius","Dendrocoptes medius caucasicus"
"9459","Piciformes","Picidae","Dendrocoptes","Dendrocoptes medius","Dendrocoptes medius anatoliae"
"9460","Piciformes","Picidae","Dendrocoptes","Dendrocoptes medius","Dendrocoptes medius sanctijohannis"
"9461","Piciformes","Picidae","Leiopicus","Leiopicus mahrattensis",NA
"9462","Piciformes","Picidae","Leiopicus","Leiopicus mahrattensis","Leiopicus mahrattensis pallescens"
"9463","Piciformes","Picidae","Leiopicus","Leiopicus mahrattensis","Leiopicus mahrattensis mahrattensis"
"9464","Piciformes","Picidae","Chloropicus","Chloropicus namaquus",NA
"9465","Piciformes","Picidae","Chloropicus","Chloropicus namaquus","Chloropicus namaquus schoensis"
"9466","Piciformes","Picidae","Chloropicus","Chloropicus namaquus","Chloropicus namaquus namaquus"
"9467","Piciformes","Picidae","Chloropicus","Chloropicus namaquus","Chloropicus namaquus coalescens"
"9468","Piciformes","Picidae","Chloropicus","Chloropicus xantholophus",NA
"9469","Piciformes","Picidae","Chloropicus","Chloropicus pyrrhogaster",NA
"9470","Piciformes","Picidae","Dendropicos","Dendropicos elachus",NA
"9471","Piciformes","Picidae","Dendropicos","Dendropicos poecilolaemus",NA
