bioregion,species,expected_occurrence_sum,expected_occurrence_share,n_sites,mean_predicted_probability,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,species_label
Cluster 1,Carduelis_carduelis,161.59713534917663,0.007535151909351344,401,0.40298537493560255,55,very warm,sedentary and short-distance,Passerine seedeaters,13.4542440183,Carduelis carduelis
Cluster 1,Acrocephalus_palustris,160.35292042372893,0.0074771351106570315,401,0.3998825945728901,56,medium,long-distance,Marsh warblers,12.248077272,Acrocephalus palustris
Cluster 1,Phoenicurus_phoenicurus,149.14103031764003,0.0069543331751042575,401,0.3719227688719203,57,cold,long-distance,Low flycatching feeders,11.3098485667,Phoenicurus phoenicurus
Cluster 1,Oenanthe_oenanthe,146.60574607430422,0.006836114792917958,401,0.36560036427507286,58,cold,long-distance,Low flycatching feeders,11.6202368597,Oenanthe oenanthe
Cluster 1,Recurvirostra_avosetta,146.10332262442512,0.006812687168353456,401,0.36434743796614744,59,very warm,short-and long-distance,Plovers,14.5831200661,Recurvirostra avosetta
Cluster 1,Luscinia_luscinia,144.12112757871245,0.006720258916137631,401,0.3594043081763403,60,cold,long-distance,Low flycatching feeders,11.8425102806,Luscinia luscinia
Cluster 1,Phylloscopus_collybita,135.7424725132765,0.006329568582563981,401,0.33850990651689905,61,medium,short-distance,Foliage gleaners,11.9465889491,Phylloscopus collybita
Cluster 1,Dendrocopos_major,135.4471872404309,0.006315799654156445,401,0.33777353426541373,62,medium,sedentary,Woodpeckers,12.1154284266,Dendrocopos major
Cluster 1,Garrulus_glandarius,127.36767492072082,0.005939058120026265,401,0.3176251244905756,63,warm,sedentary,Omnivorous corvids,12.466780849,Garrulus glandarius
Cluster 1,Podiceps_cristatus,127.1332450994023,0.005928126835186962,401,0.3170405114698312,64,warm,short-distance,Aquatic pursuers,12.6860788894,Podiceps cristatus
Cluster 1,Mergus_serrator,125.49000600354894,0.0058515038419396795,401,0.3129426583629649,65,very cold,short-distance,Aquatic pursuers,7.3724850113,Mergus serrator
Cluster 1,Larus_canus,122.4146462650691,0.0057081021488633995,401,0.30527343208246654,66,very cold,sedentary and short-distance,Gulls,8.5740563147,Larus canus
Cluster 1,Lophophanes_cristatus,119.546974581063,0.0055743847923122435,401,0.29812213112484537,67,cold,sedentary,Tit-like birds,11.7118025203,Lophophanes cristatus
Cluster 1,Sterna_paradisaea,111.29821444347353,0.005189751360746556,401,0.27755165696626816,68,very cold,long-distance,Terns,6.7214988279,Sterna paradisaea
Cluster 1,Strix_aluco,107.03834271667671,0.004991116771671656,401,0.2669285354530591,69,warm,sedentary,Owls,12.8738657057,Strix aluco
Cluster 1,Spatula_clypeata,104.33182602672348,0.004864913950316405,401,0.26017911727362464,70,cold,short-distance,Dabbling ducks,11.7556216717,Spatula clypeata
Cluster 1,Calidris_alpina,100.03280096757558,0.004664453671037372,401,0.2494583565276199,71,very cold,long-distance,Scolopacids,7.0663752664,Calidris alpina
Cluster 1,Poecile_palustris,97.92214022525805,0.0045660351607828345,401,0.24419486340463353,72,medium,sedentary,Tit-like birds,12.3251392514,Poecile palustris
Cluster 1,Calidris_pugnax,93.88063281461825,0.004377582734221331,401,0.23411629130827494,73,very cold,long-distance,Scolopacids,7.9732949741,Calidris pugnax
Cluster 1,Muscicapa_striata,93.14252724693701,0.004343165431181902,401,0.2322756290447307,74,medium,long-distance,Flycatchers,12.1492223917,Muscicapa striata
Cluster 1,Anas_crecca,91.14984703337704,0.0042502482635385,401,0.22730635170418215,75,very cold,short-distance,Dabbling ducks,10.071290709,Anas crecca
Cluster 1,Asio_otus,87.96824643818152,0.004101892639858175,401,0.21937218563137537,76,medium,sedentary,Owls,12.2940439872,Asio otus
Cluster 1,Buteo_buteo,86.00985753307943,0.004010574449930821,401,0.21448842277575916,77,warm,sedentary and short-distance,Diurnal raptors,12.6973693303,Buteo buteo
Cluster 1,Rallus_aquaticus,83.65356269161373,0.0039007022078561076,401,0.20861237578956043,78,very warm,sedentary and short-distance,Rails,13.3215188918,Rallus aquaticus
Cluster 1,Sternula_albifrons,81.8950025729454,0.0038187018827435357,401,0.20422693908465187,79,very warm,long-distance,Terns,13.6554594356,Sternula albifrons
Cluster 1,Larus_argentatus,79.63373486721765,0.003713260683965158,401,0.19858786749929588,80,very cold,sedentary and short-distance,Gulls,9.0583381929,Larus argentatus
Cluster 1,Sterna_hirundo,78.75734321567589,0.0036723952056744364,401,0.19640235215879273,81,cold,long-distance,Terns,11.4396148713,Sterna hirundo
Cluster 1,Phylloscopus_sibilatrix,77.05727190197089,0.0035931221691950623,401,0.19216277282287006,82,cold,long-distance,Foliage gleaners,11.3755910555,Phylloscopus sibilatrix
Cluster 1,Tachybaptus_ruficollis,76.71944143222106,0.003577369390510762,401,0.1913203028234939,83,very warm,sedentary and short-distance,Aquatic pursuers,13.4633891991,Tachybaptus ruficollis
Cluster 1,Ficedula_hypoleuca,76.10254851748857,0.0035486041415831266,401,0.18978191650246526,84,very cold,long-distance,Flycatchers,10.4275102213,Ficedula hypoleuca
Cluster 1,Spatula_querquedula,69.70173686488154,0.003250139146883046,401,0.1738197926805026,85,warm,long-distance,Dabbling ducks,12.389627827,Spatula querquedula
Cluster 1,Athene_noctua,67.33482913787543,0.0031397720340015528,401,0.16791727964557465,86,very warm,sedentary,Owls,14.2083192272,Athene noctua
Cluster 1,Podiceps_grisegena,67.17075936198601,0.0031321215847383986,401,0.16750812808475316,87,medium,short-distance,Aquatic pursuers,11.9386619385,Podiceps grisegena
Cluster 1,Limosa_limosa,66.71903007019225,0.0031110577903325463,401,0.16638162112267393,88,medium,long-distance,Scolopacids,12.0468335512,Limosa limosa
Cluster 1,Turdus_viscivorus,66.09681216708475,0.003082044241234029,401,0.16482995552888965,89,medium,short-distance,Thrushes,11.9147042629,Turdus viscivorus
Cluster 1,Accipiter_nisus,64.63453193904495,0.00301385922280216,401,0.16118337141906472,90,medium,sedentary and short-distance,Diurnal raptors,11.9162821341,Accipiter nisus
Cluster 1,Aythya_ferina,64.36184768057532,0.00300114416256042,401,0.16050336079943972,91,warm,short-distance,Diving ducks,12.445391892,Aythya ferina
Cluster 1,Lanius_collurio,64.15412435022539,0.0029914581811479337,401,0.15998534750679647,92,warm,long-distance,Shrikes,12.6238867722,Lanius collurio
Cluster 1,Apus_apus,62.88366437660056,0.0029322175957543365,401,0.15681711814613605,93,warm,long-distance,Aerial insectivores,12.4470483242,Apus apus
Cluster 1,Locustella_naevia,60.06926119783109,0.0028009841092177987,401,0.1497986563536935,94,cold,long-distance,Marsh warblers,11.7684221003,Locustella naevia
Cluster 1,Anser_anser,57.30300367862961,0.0026719956182861444,401,0.14290025855019853,95,cold,sedentary and short-distance,Grazing waterfowl,11.1956416463,Anser anser
Cluster 1,Numenius_arquata,55.557674697126586,0.0025906122510686407,401,0.13854781719981693,96,very cold,short-distance,Scolopacids,10.0493203009,Numenius arquata
Cluster 1,Corvus_frugilegus,54.11276143446934,0.0025232370410661056,401,0.13494454223059685,97,warm,sedentary,Omnivorous corvids,12.7340640684,Corvus frugilegus
Cluster 1,Aythya_fuligula,53.916570815364196,0.002514088821235645,401,0.13445528881636956,98,very cold,short-distance,Diving ducks,10.1385920012,Aythya fuligula
Cluster 1,Sitta_europaea,53.01251818068373,0.0024719335322718463,401,0.13220079346803923,99,warm,sedentary,Tit-like birds,12.7946675987,Sitta europaea
Cluster 1,Pyrrhula_pyrrhula,50.15909408756091,0.0023388805300820206,401,0.12508502266224666,100,very cold,short-distance,Passerine seedeaters,10.756294956,Pyrrhula pyrrhula
Cluster 1,Acanthis_flammea,50.08450248677254,0.0023354023802875487,401,0.12489900869519337,101,very cold,short-distance,Passerine seedeaters,8.1923087262,Acanthis flammea
Cluster 1,Circus_aeruginosus,47.50994365042591,0.002215352653604485,401,0.11847866246989006,102,very warm,short-and long-distance,Diurnal raptors,13.2259231132,Circus aeruginosus
Cluster 1,Anas_acuta,45.698268215639594,0.002130875601569759,401,0.1139607686175551,103,very cold,short-distance,Dabbling ducks,8.5273453088,Anas acuta
