bioregion,species,expected_occurrence_sum,expected_occurrence_share,n_sites,mean_predicted_probability,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,species_label
Cluster 3,Troglodytes_troglodytes,853.2902306765347,0.016419447334913084,879,0.9707511156729633,11,medium,sedentary,Low flycatching feeders,12.2368253494,Troglodytes troglodytes
Cluster 3,Hirundo_rustica,851.8507189412056,0.0163917475133559,879,0.9691134458944319,12,warm,long-distance,Aerial insectivores,12.4305273248,Hirundo rustica
Cluster 3,Curruca_communis,841.6479306112254,0.016195420238495913,879,0.9575061781697672,13,warm,long-distance,Foliage gleaners,12.6535890847,Curruca communis
Cluster 3,Cyanistes_caeruleus,836.4445286058469,0.016095293713993278,879,0.9515864944321353,14,warm,sedentary,Tit-like birds,12.7367473555,Cyanistes caeruleus
Cluster 3,Erithacus_rubecula,836.2302072468513,0.016091169632713235,879,0.9513426703604678,15,medium,sedentary,Low flycatching feeders,11.998445823500001,Erithacus rubecula
Cluster 3,Sylvia_atricapilla,833.8083815429296,0.016044567623021463,879,0.9485874647814899,16,warm,short-distance,Foliage gleaners,12.6192368528,Sylvia atricapilla
Cluster 3,Linaria_cannabina,820.0313702105675,0.015779463319852697,879,0.9329139592839221,17,very warm,short-distance,Passerine seedeaters,13.1603552715,Linaria cannabina
Cluster 3,Sylvia_borin,818.4509632053365,0.015749052319401484,879,0.931115999095946,18,cold,long-distance,Foliage gleaners,11.3163422901,Sylvia borin
Cluster 3,Prunella_modularis,812.9225206205764,0.015642671197713745,879,0.9248265308538981,19,very cold,sedentary and short-distance,Low flycatching feeders,10.9083374064,Prunella modularis
Cluster 3,Chloris_chloris,812.6055341919069,0.01563657158261878,879,0.92446590920581,20,warm,sedentary and short-distance,Passerine seedeaters,12.6006224966,Chloris chloris
