bioregion,variable,variable_label,n_species,weighted_mean_scaled_vp,supported_species_weight_share,positive_species_weight_share,negative_species_weight_share,supported_vp_weight,signed_weighted_vp,vp_weighted_direction_score,supported_vp_share,weighted_mean_supported_beta,relative_vp_share,direction_class
Cluster 2,perc_forest,Forest (% coverage),157,0.0147160727423076,0.7854833287427929,0.7506646044463992,0.03481872429639389,0.014427548020072779,0.013389314010837733,0.9280380832702432,0.9803939048625837,1.6948027204516622,0.2969949802927136,Mostly positive
Cluster 2,perc_grass_shrub,Grass/Shrubland (% coverage),157,0.0015393938382948053,0.24375245405150278,0.23508276385403673,0.008669690197466056,8.250494903418551e-4,5.973676331908338e-4,0.7240385457887107,0.535957381287018,1.3974137992109599,0.031067544355954234,Mostly positive
Cluster 2,perc_pasture,Pasture (% coverage),157,0.0017844045722536202,0.2701734055704842,0.21746470790991604,0.05270869766056823,0.001071278349966552,7.100543627822846e-4,0.6628103357119597,0.6003562009559172,0.9287474781648386,0.03601227107603914,Mostly positive
Cluster 2,perc_urban,Urban (% coverage),157,0.007630621556223873,0.6477520280263822,0.6042353199825112,0.04351670804387102,0.007204360325601646,0.006009661480882457,0.8341700316579572,0.9441380721764993,1.5986079194358003,0.15399871544508942,Mostly positive
Cluster 2,prec_breeding,Precipitation,157,0.00573528720805214,0.45495842366403016,0.04572705496926549,0.4092313686947648,0.004667522655483622,-0.0030565972727941318,-0.6548650105003989,0.8138254434635087,-0.012871901370902297,0.11574769581231346,Mostly negative
Cluster 2,tmean_breeding,Temperature,157,0.004832487953012043,0.3933706454962758,0.3021562437532283,0.09121440174304754,0.003790735951886514,0.002282984949450337,0.6022537518906261,0.7844273982149887,0.587933661832928,0.09752769570399207,Mostly positive
Cluster 3,hh,Land-use heterogeneity,157,0.0035753841238687434,0.29762546545917257,0.2632175192376014,0.03440794622157122,0.002392149265637708,0.0021647844547781226,0.9049537526250588,0.6690607729860599,0.6499055178956197,0.065616650536454,Mostly positive
Cluster 3,perc_cropland,Cropland (% coverage),157,0.010274282728165808,0.7045740121645305,0.6564223944566921,0.04815161770783838,0.009296933424773383,0.006378424007589344,0.6860782707761318,0.9048742058934071,0.7299833194726937,0.18855708811429808,Mostly positive
Cluster 3,perc_forest,Forest (% coverage),157,0.015784409962876472,0.7800591694233326,0.7329505630630705,0.04710860636026201,0.015461385688202994,0.013890996624902103,0.8984315445607767,0.9795352328384018,1.653656290105606,0.2896807941680649,Mostly positive
Cluster 3,perc_grass_shrub,Grass/Shrubland (% coverage),157,0.0016742429052092926,0.2483552065781404,0.2357209504617722,0.012634256116368203,9.337972906250875e-4,6.390185505630694e-4,0.6843225579882631,0.5577430178856609,1.370990449590189,0.030726268232511924,Mostly positive
Cluster 3,perc_pasture,Pasture (% coverage),157,0.0016820314288844237,0.2530345073513553,0.19703623842642046,0.05599826892493485,9.116033789831825e-4,4.998412725849309e-4,0.5483100261678079,0.5419657227141033,0.7875615745975008,0.03086920583543247,Mostly positive
Cluster 3,perc_urban,Urban (% coverage),157,0.007676729797241226,0.6798312885401416,0.6260950398644489,0.05373624867569263,0.007275086589463287,0.005700043861994341,0.7835018582802677,0.9476804292470634,1.4355820931690082,0.14088592411808035,Mostly positive
Cluster 3,prec_breeding,Precipitation,157,0.008029311263383368,0.5184439042398502,0.048725491776305786,0.4697184124635442,0.007095413695233294,-0.00551124952385223,-0.7767340652109818,0.8836889569334554,-0.015060763336038703,0.14735661762903268,Mostly negative
Cluster 3,tmean_breeding,Temperature,157,0.005792584210805318,0.4497263260456361,0.3154595472617393,0.1342667787838969,0.004879801262269595,0.00217825487543097,0.44638188285927527,0.8424221529946784,0.47430738511393933,0.10630745136612553,Mostly positive
