bioregion,species,species_label,species_weight,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,variable,scaled_vp,variable_label,effect_size,supported,effect_sign,effect_direction,weighted_scaled_vp,weighted_supported_vp,weighted_signed_vp,effect_sign_label
Cluster 1,Sitta_europaea,Sitta europaea,0.0024719335322718463,99,warm,sedentary,Tit-like birds,hh,0.005700581587951346,Land-use heterogeneity,0.9378771522651099,TRUE,1,Positive,1.4091458780708422e-5,1.4091458780708422e-5,1.4091458780708422e-5,+
Cluster 1,Sitta_europaea,Sitta europaea,0.0024719335322718463,99,warm,sedentary,Tit-like birds,perc_urban,0.005711183923185909,Urban (% coverage),1.565498365185822,TRUE,1,Positive,1.4117667048695125e-5,1.4117667048695125e-5,1.4117667048695125e-5,+
Cluster 1,Sitta_europaea,Sitta europaea,0.0024719335322718463,99,warm,sedentary,Tit-like birds,perc_cropland,0.015758639287895327,Cropland (% coverage),1.150808609708723,TRUE,1,Positive,3.8954308878724986e-5,3.8954308878724986e-5,3.8954308878724986e-5,+
Cluster 1,Sitta_europaea,Sitta europaea,0.0024719335322718463,99,warm,sedentary,Tit-like birds,perc_forest,0.019532283512578703,Forest (% coverage),2.549449596542108,TRUE,1,Positive,4.828250657658382e-5,4.828250657658382e-5,4.828250657658382e-5,+
Cluster 1,Pyrrhula_pyrrhula,Pyrrhula pyrrhula,0.0023388805300820206,100,very cold,short-distance,Passerine seedeaters,tmean_breeding,0.007126061617689441,Temperature,-0.8232415702622093,TRUE,-1,Negative,1.6667006773778622e-5,1.6667006773778622e-5,-1.6667006773778622e-5,-
Cluster 1,Pyrrhula_pyrrhula,Pyrrhula pyrrhula,0.0023388805300820206,100,very cold,short-distance,Passerine seedeaters,prec_breeding,0.017421517898479986,Precipitation,-0.02159619421886994,TRUE,-1,Negative,4.074684901723028e-5,4.074684901723028e-5,-4.074684901723028e-5,-
Cluster 1,Pyrrhula_pyrrhula,Pyrrhula pyrrhula,0.0023388805300820206,100,very cold,short-distance,Passerine seedeaters,hh,0.004378699272224429,Land-use heterogeneity,0.5176260632291942,TRUE,1,Positive,1.0241254474890032e-5,1.0241254474890032e-5,1.0241254474890032e-5,+
Cluster 1,Pyrrhula_pyrrhula,Pyrrhula pyrrhula,0.0023388805300820206,100,very cold,short-distance,Passerine seedeaters,perc_urban,0.006516427035182403,Urban (% coverage),1.134347121571821,TRUE,1,Positive,1.5241144318288228e-5,1.5241144318288228e-5,1.5241144318288228e-5,+
Cluster 1,Pyrrhula_pyrrhula,Pyrrhula pyrrhula,0.0023388805300820206,100,very cold,short-distance,Passerine seedeaters,perc_cropland,0.010559372779789886,Cropland (% coverage),0.628221762524015,TRUE,1,Positive,2.469711140452863e-5,2.469711140452863e-5,2.469711140452863e-5,+
Cluster 1,Pyrrhula_pyrrhula,Pyrrhula pyrrhula,0.0023388805300820206,100,very cold,short-distance,Passerine seedeaters,perc_forest,0.039377409086261625,Forest (% coverage),2.493053743473901,TRUE,1,Positive,9.209905543693216e-5,9.209905543693216e-5,9.209905543693216e-5,+
Cluster 1,Pyrrhula_pyrrhula,Pyrrhula pyrrhula,0.0023388805300820206,100,very cold,short-distance,Passerine seedeaters,perc_grass_shrub,0.003161286139013464,Grass/Shrubland (% coverage),1.3589881104746,TRUE,1,Positive,7.393870600556755e-6,7.393870600556755e-6,7.393870600556755e-6,+
Cluster 1,Acanthis_flammea,Acanthis flammea,0.0023354023802875487,101,very cold,short-distance,Passerine seedeaters,hh,0.006073034067418757,Land-use heterogeneity,0.6471888705305414,TRUE,1,Positive,1.4182978216617139e-5,1.4182978216617139e-5,1.4182978216617139e-5,+
Cluster 1,Acanthis_flammea,Acanthis flammea,0.0023354023802875487,101,very cold,short-distance,Passerine seedeaters,perc_urban,0.01982534034198221,Urban (% coverage),-2.199320470307525,TRUE,-1,Negative,4.630014702467602e-5,4.630014702467602e-5,-4.630014702467602e-5,-
Cluster 1,Acanthis_flammea,Acanthis flammea,0.0023354023802875487,101,very cold,short-distance,Passerine seedeaters,perc_cropland,0.024869454381423847,Cropland (% coverage),-1.048353974005763,TRUE,-1,Negative,5.808018295882986e-5,5.808018295882986e-5,-5.808018295882986e-5,-
Cluster 1,Circus_aeruginosus,Circus aeruginosus,0.002215352653604485,102,very warm,short-and long-distance,Diurnal raptors,tmean_breeding,0.054956172372452046,Temperature,2.868047116006168,TRUE,1,Positive,1.2174730229725713e-4,1.2174730229725713e-4,1.2174730229725713e-4,+
Cluster 1,Circus_aeruginosus,Circus aeruginosus,0.002215352653604485,102,very warm,short-and long-distance,Diurnal raptors,hh,0.016004781872176563,Land-use heterogeneity,1.252537456936928,TRUE,1,Positive,3.545623599088731e-5,3.545623599088731e-5,3.545623599088731e-5,+
Cluster 1,Circus_aeruginosus,Circus aeruginosus,0.002215352653604485,102,very warm,short-and long-distance,Diurnal raptors,perc_urban,0.013506128661703767,Urban (% coverage),-1.843454304553786,TRUE,-1,Negative,2.9920837970629035e-5,2.9920837970629035e-5,-2.9920837970629035e-5,-
Cluster 1,Anas_acuta,Anas acuta,0.002130875601569759,103,very cold,short-distance,Dabbling ducks,tmean_breeding,0.030496990310719927,Temperature,2.037702358477139,TRUE,1,Positive,6.498529257442243e-5,6.498529257442243e-5,6.498529257442243e-5,+
Cluster 1,Anas_acuta,Anas acuta,0.002130875601569759,103,very cold,short-distance,Dabbling ducks,prec_breeding,0.012983407982568678,Precipitation,-0.01982046633914755,TRUE,-1,Negative,2.766602729528164e-5,2.766602729528164e-5,-2.766602729528164e-5,-
Cluster 1,Anas_acuta,Anas acuta,0.002130875601569759,103,very cold,short-distance,Dabbling ducks,hh,0.008465198375771218,Land-use heterogeneity,0.8203274122219373,TRUE,1,Positive,1.803828468137884e-5,1.803828468137884e-5,1.803828468137884e-5,+
Cluster 1,Anas_acuta,Anas acuta,0.002130875601569759,103,very cold,short-distance,Dabbling ducks,perc_urban,0.03925982623582173,Urban (% coverage),-3.218285587007511,TRUE,-1,Negative,8.365780584778083e-5,8.365780584778083e-5,-8.365780584778083e-5,-
Cluster 1,Anas_acuta,Anas acuta,0.002130875601569759,103,very cold,short-distance,Dabbling ducks,perc_cropland,0.03031178523634417,Cropland (% coverage),-1.195719554505507,TRUE,-1,Negative,6.459064360014822e-5,6.459064360014822e-5,-6.459064360014822e-5,-
Cluster 1,Certhia_familiaris,Certhia familiaris,0.0016066909125725488,104,cold,sedentary,Tit-like birds,tmean_breeding,0.008607944813543267,Temperature,-0.8688799251490377,TRUE,-1,Negative,1.383030670784597e-5,1.383030670784597e-5,-1.383030670784597e-5,-
Cluster 1,Certhia_familiaris,Certhia familiaris,0.0016066909125725488,104,cold,sedentary,Tit-like birds,perc_urban,0.0054471602880627685,Urban (% coverage),0.9736966244187888,TRUE,1,Positive,8.751902934156517e-6,8.751902934156517e-6,8.751902934156517e-6,+
Cluster 1,Certhia_familiaris,Certhia familiaris,0.0016066909125725488,104,cold,sedentary,Tit-like birds,perc_forest,0.038802680432429605,Forest (% coverage),2.355409410755968,TRUE,1,Positive,6.23439140342413e-5,6.23439140342413e-5,6.23439140342413e-5,+
Cluster 1,Porzana_porzana,Porzana porzana,0.0015940242300372894,105,warm,long-distance,Rails,tmean_breeding,0.010708610975365735,Temperature,0.9561285910459267,TRUE,1,Positive,1.7069785364776232e-5,1.7069785364776232e-5,1.7069785364776232e-5,+
Cluster 1,Porzana_porzana,Porzana porzana,0.0015940242300372894,105,warm,long-distance,Rails,prec_breeding,0.008852074546811346,Precipitation,-0.01344557394940888,TRUE,-1,Negative,1.4110421313713643e-5,1.4110421313713643e-5,-1.4110421313713643e-5,-
Cluster 1,Porzana_porzana,Porzana porzana,0.0015940242300372894,105,warm,long-distance,Rails,hh,0.010049339700099691,Land-use heterogeneity,0.7488856515167688,TRUE,1,Positive,1.6018890977834576e-5,1.6018890977834576e-5,1.6018890977834576e-5,+
Cluster 1,Picus_viridis,Picus viridis,0.0015824088656074564,106,warm,sedentary,Woodpeckers,hh,0.014356860319433062,Land-use heterogeneity,1.153835380019523,TRUE,1,Positive,2.2718423051758777e-5,2.2718423051758777e-5,2.2718423051758777e-5,+
Cluster 1,Picus_viridis,Picus viridis,0.0015824088656074564,106,warm,sedentary,Woodpeckers,perc_forest,0.06669827371553393,Forest (% coverage),3.647165508126777,TRUE,1,Positive,1.0554393964817366e-4,1.0554393964817366e-4,1.0554393964817366e-4,+
Cluster 1,Corvus_corone,Corvus corone,0.0015418912470622117,107,medium,sedentary,Omnivorous corvids,tmean_breeding,0.1191398640858368,Temperature,3.058247241015326,TRUE,1,Positive,1.837007136101333e-4,1.837007136101333e-4,1.837007136101333e-4,+
Cluster 1,Corvus_corone,Corvus corone,0.0015418912470622117,107,medium,sedentary,Omnivorous corvids,prec_breeding,0.04151612708545276,Precipitation,0.02770793234136223,TRUE,1,Positive,6.401335296498203e-5,6.401335296498203e-5,6.401335296498203e-5,+
Cluster 1,Corvus_corone,Corvus corone,0.0015418912470622117,107,medium,sedentary,Omnivorous corvids,perc_urban,0.008057863497818642,Urban (% coverage),-0.9725579110429846,TRUE,-1,Negative,1.2424349197308662e-5,1.2424349197308662e-5,-1.2424349197308662e-5,-
Cluster 1,Corvus_corone,Corvus corone,0.0015418912470622117,107,medium,sedentary,Omnivorous corvids,perc_pasture,0.0037694428678199327,Pasture (% coverage),0.8959087567523203,TRUE,1,Positive,5.8120709641926355e-6,5.8120709641926355e-6,5.8120709641926355e-6,+
Cluster 1,Somateria_mollissima,Somateria mollissima,0.0015217295601313997,108,very cold,short-distance,Diving ducks,prec_breeding,0.06380765381066272,Precipitation,-0.05465065264791507,TRUE,-1,Negative,9.709799296631641e-5,9.709799296631641e-5,-9.709799296631641e-5,-
Cluster 1,Somateria_mollissima,Somateria mollissima,0.0015217295601313997,108,very cold,short-distance,Diving ducks,hh,0.022385032030821744,Land-use heterogeneity,1.675894301895039,TRUE,1,Positive,3.406396494578966e-5,3.406396494578966e-5,3.406396494578966e-5,+
Cluster 1,Somateria_mollissima,Somateria mollissima,0.0015217295601313997,108,very cold,short-distance,Diving ducks,perc_urban,0.016241958847424298,Urban (% coverage),-2.342147687955872,TRUE,-1,Negative,2.4715868892563273e-5,2.4715868892563273e-5,-2.4715868892563273e-5,-
Cluster 1,Somateria_mollissima,Somateria mollissima,0.0015217295601313997,108,very cold,short-distance,Diving ducks,perc_cropland,0.029034719209742297,Cropland (% coverage),-1.354193545577815,TRUE,-1,Negative,4.4182990491579846e-5,4.4182990491579846e-5,-4.4182990491579846e-5,-
Cluster 1,Somateria_mollissima,Somateria mollissima,0.0015217295601313997,108,very cold,short-distance,Diving ducks,perc_forest,0.028989860645373233,Forest (% coverage),-2.761715750606765,TRUE,-1,Negative,4.4114727888154384e-5,4.4114727888154384e-5,-4.4114727888154384e-5,-
Cluster 1,Aegithalos_caudatus,Aegithalos caudatus,0.0014911313589876596,109,warm,sedentary,Tit-like birds,tmean_breeding,0.01278433905582197,Temperature,-0.9862163350785551,TRUE,-1,Negative,1.906312887006683e-5,1.906312887006683e-5,-1.906312887006683e-5,-
Cluster 1,Aegithalos_caudatus,Aegithalos caudatus,0.0014911313589876596,109,warm,sedentary,Tit-like birds,prec_breeding,0.0252625101182636,Precipitation,-0.02255128160711724,TRUE,-1,Negative,3.7669721044085904e-5,3.7669721044085904e-5,-3.7669721044085904e-5,-
Cluster 1,Aegithalos_caudatus,Aegithalos caudatus,0.0014911313589876596,109,warm,sedentary,Tit-like birds,hh,0.007162738285752993,Land-use heterogeneity,0.5881712292293647,TRUE,1,Positive,1.06805836741078e-5,1.06805836741078e-5,1.06805836741078e-5,+
Cluster 1,Aegithalos_caudatus,Aegithalos caudatus,0.0014911313589876596,109,warm,sedentary,Tit-like birds,perc_forest,0.032251101164369134,Forest (% coverage),1.929170322930999,TRUE,1,Positive,4.809062830807424e-5,4.809062830807424e-5,4.809062830807424e-5,+
Cluster 1,Lullula_arborea,Lullula arborea,0.0013364332913462754,110,very warm,short-distance,Open-land insectivores,tmean_breeding,0.007923962355593506,Temperature,0.6637746754237941,TRUE,1,Positive,1.0589847091389814e-5,1.0589847091389814e-5,1.0589847091389814e-5,+
Cluster 1,Lullula_arborea,Lullula arborea,0.0013364332913462754,110,very warm,short-distance,Open-land insectivores,prec_breeding,0.02136520403455092,Precipitation,0.01847358122380952,TRUE,1,Positive,2.855316994817961e-5,2.855316994817961e-5,2.855316994817961e-5,+
Cluster 1,Lullula_arborea,Lullula arborea,0.0013364332913462754,110,very warm,short-distance,Open-land insectivores,perc_forest,0.03224382319988109,Forest (% coverage),1.722529445090854,TRUE,1,Positive,4.309171876460447e-5,4.309171876460447e-5,4.309171876460447e-5,+
Cluster 1,Ardea_cinerea,Ardea cinerea,0.0012282193797038031,111,warm,sedentary and short-distance,Wading birds,tmean_breeding,0.018307259276655847,Temperature,1.813730814521515,TRUE,1,Positive,2.248533063285094e-5,2.248533063285094e-5,2.248533063285094e-5,+
Cluster 1,Ardea_cinerea,Ardea cinerea,0.0012282193797038031,111,warm,sedentary and short-distance,Wading birds,prec_breeding,0.00431863355750675,Precipitation,-0.01282874815882066,TRUE,-1,Negative,5.3042294291689686e-6,5.3042294291689686e-6,-5.3042294291689686e-6,-
Cluster 1,Ardea_cinerea,Ardea cinerea,0.0012282193797038031,111,warm,sedentary and short-distance,Wading birds,hh,0.0037851436599286954,Land-use heterogeneity,0.6033300994224499,TRUE,1,Positive,4.648986798087406e-6,4.648986798087406e-6,4.648986798087406e-6,+
Cluster 1,Ardea_cinerea,Ardea cinerea,0.0012282193797038031,111,warm,sedentary and short-distance,Wading birds,perc_urban,0.0026959306869306188,Urban (% coverage),-0.8050693665214703,TRUE,-1,Negative,3.3111943160263722e-6,3.3111943160263722e-6,-3.3111943160263722e-6,-
Cluster 1,Ardea_cinerea,Ardea cinerea,0.0012282193797038031,111,warm,sedentary and short-distance,Wading birds,perc_forest,0.0035993359646467084,Forest (% coverage),0.8853339172918998,TRUE,1,Positive,4.42077418584397e-6,4.42077418584397e-6,4.42077418584397e-6,+
Cluster 1,Crex_crex,Crex crex,0.0012103116391909412,112,medium,long-distance,Rails,hh,0.003902059072319679,Land-use heterogeneity,0.8511967124245818,TRUE,1,Positive,4.722707512039114e-6,4.722707512039114e-6,4.722707512039114e-6,+
Cluster 1,Crex_crex,Crex crex,0.0012103116391909412,112,medium,long-distance,Rails,perc_cropland,0.004369743368546225,Cropland (% coverage),0.6375646382821649,TRUE,1,Positive,5.288751259228927e-6,5.288751259228927e-6,5.288751259228927e-6,+
Cluster 1,Tringa_glareola,Tringa glareola,0.001196888135565539,113,very cold,long-distance,Scolopacids,tmean_breeding,0.018970012712995362,Temperature,1.527136737427176,TRUE,1,Positive,2.270498314771159e-5,2.270498314771159e-5,2.270498314771159e-5,+
Cluster 1,Tringa_glareola,Tringa glareola,0.001196888135565539,113,very cold,long-distance,Scolopacids,prec_breeding,0.05667623816770623,Precipitation,0.04231379769171655,TRUE,1,Positive,6.783511703141435e-5,6.783511703141435e-5,6.783511703141435e-5,+
Cluster 1,Tringa_glareola,Tringa glareola,0.001196888135565539,113,very cold,long-distance,Scolopacids,perc_urban,0.010786630238675465,Urban (% coverage),-1.395497089267579,TRUE,-1,Negative,1.2910389755403141e-5,1.2910389755403141e-5,-1.2910389755403141e-5,-
Cluster 1,Tringa_glareola,Tringa glareola,0.001196888135565539,113,very cold,long-distance,Scolopacids,perc_pasture,0.019855402983805504,Pasture (% coverage),3.081737416982694,TRUE,1,Positive,2.3764696258189407e-5,2.3764696258189407e-5,2.3764696258189407e-5,+
Cluster 1,Tringa_glareola,Tringa glareola,0.001196888135565539,113,very cold,long-distance,Scolopacids,perc_forest,0.019914892600724845,Forest (% coverage),1.888555484736794,TRUE,1,Positive,2.3835898674869507e-5,2.3835898674869507e-5,2.3835898674869507e-5,+
Cluster 1,Tringa_glareola,Tringa glareola,0.001196888135565539,113,very cold,long-distance,Scolopacids,perc_grass_shrub,0.008201825692098597,Grass/Shrubland (% coverage),2.483021753749727,TRUE,1,Positive,9.816667860849425e-6,9.816667860849425e-6,9.816667860849425e-6,+
Cluster 1,Oriolus_oriolus,Oriolus oriolus,0.0011606508306922483,114,very warm,long-distance,Orioles,tmean_breeding,0.017335027269720322,Temperature,1.434628984706403,TRUE,1,Positive,2.0119913800673668e-5,2.0119913800673668e-5,2.0119913800673668e-5,+
Cluster 1,Oriolus_oriolus,Oriolus oriolus,0.0011606508306922483,114,very warm,long-distance,Orioles,prec_breeding,0.00565225199091135,Precipitation,-0.0114699096470192,TRUE,-1,Negative,6.5602909685331725e-6,6.5602909685331725e-6,-6.5602909685331725e-6,-
Cluster 1,Oriolus_oriolus,Oriolus oriolus,0.0011606508306922483,114,very warm,long-distance,Orioles,perc_urban,0.019410395191732314,Urban (% coverage),-2.095951907281167,TRUE,-1,Negative,2.2528691303348935e-5,2.2528691303348935e-5,-2.2528691303348935e-5,-
Cluster 1,Thalasseus_sandvicensis,Thalasseus sandvicensis,0.0011039400813391686,115,medium,short-and long-distance,Terns,tmean_breeding,0.016978069257396814,Temperature,1.807793507250268,TRUE,1,Positive,1.8742771156992675e-5,1.8742771156992675e-5,1.8742771156992675e-5,+
Cluster 1,Thalasseus_sandvicensis,Thalasseus sandvicensis,0.0011039400813391686,115,medium,short-and long-distance,Terns,hh,0.024297670755008518,Land-use heterogeneity,1.884546401673543,TRUE,1,Positive,2.682317262963644e-5,2.682317262963644e-5,2.682317262963644e-5,+
Cluster 1,Thalasseus_sandvicensis,Thalasseus sandvicensis,0.0011039400813391686,115,medium,short-and long-distance,Terns,perc_urban,0.015360617100464654,Urban (% coverage),-2.429533594979819,TRUE,-1,Negative,1.6957200891306774e-5,1.6957200891306774e-5,-1.6957200891306774e-5,-
Cluster 1,Thalasseus_sandvicensis,Thalasseus sandvicensis,0.0011039400813391686,115,medium,short-and long-distance,Terns,perc_cropland,0.02873878117013529,Cropland (% coverage),-1.439225942251634,TRUE,-1,Negative,3.172589242254772e-5,3.172589242254772e-5,-3.172589242254772e-5,-
Cluster 1,Thalasseus_sandvicensis,Thalasseus sandvicensis,0.0011039400813391686,115,medium,short-and long-distance,Terns,perc_forest,0.008098036190118695,Forest (% coverage),-1.405849339617506,TRUE,-1,Negative,8.939746730407162e-6,8.939746730407162e-6,-8.939746730407162e-6,-
Cluster 1,Loxia_curvirostra,Loxia curvirostra,0.0010875938964060767,116,very cold,sedentary and short-distance,Passerine seedeaters,prec_breeding,0.01552717823659007,Precipitation,0.0176210814006247,TRUE,1,Positive,1.6887264278524628e-5,1.6887264278524628e-5,1.6887264278524628e-5,+
Cluster 1,Loxia_curvirostra,Loxia curvirostra,0.0010875938964060767,116,very cold,sedentary and short-distance,Passerine seedeaters,perc_forest,0.03684609232573093,Forest (% coverage),2.085686873376004,TRUE,1,Positive,4.007358511987975e-5,4.007358511987975e-5,4.007358511987975e-5,+
Cluster 1,Anarhynchus_alexandrinus,Anarhynchus alexandrinus,0.001086371064383856,117,very warm,short-and long-distance,Plovers,tmean_breeding,0.015055206733636006,Temperature,1.684273077005259,TRUE,1,Positive,1.635554096373914e-5,1.635554096373914e-5,1.635554096373914e-5,+
Cluster 1,Anarhynchus_alexandrinus,Anarhynchus alexandrinus,0.001086371064383856,117,very warm,short-and long-distance,Plovers,prec_breeding,0.018977539473194794,Precipitation,-0.03047652096658851,TRUE,-1,Negative,2.0616649756881268e-5,2.0616649756881268e-5,-2.0616649756881268e-5,-
Cluster 1,Anarhynchus_alexandrinus,Anarhynchus alexandrinus,0.001086371064383856,117,very warm,short-and long-distance,Plovers,hh,0.028456656580532813,Land-use heterogeneity,2.067278281928528,TRUE,1,Positive,3.091448829819929e-5,3.091448829819929e-5,3.091448829819929e-5,+
Cluster 1,Anarhynchus_alexandrinus,Anarhynchus alexandrinus,0.001086371064383856,117,very warm,short-and long-distance,Plovers,perc_cropland,0.03816509819980073,Cropland (% coverage),-1.688574216439089,TRUE,-1,Negative,4.1461458353631906e-5,4.1461458353631906e-5,-4.1461458353631906e-5,-
Cluster 1,Anarhynchus_alexandrinus,Anarhynchus alexandrinus,0.001086371064383856,117,very warm,short-and long-distance,Plovers,perc_forest,0.01973073545645528,Forest (% coverage),-2.413481658064469,TRUE,-1,Negative,2.1434900078905605e-5,2.1434900078905605e-5,-2.1434900078905605e-5,-
Cluster 1,Anarhynchus_alexandrinus,Anarhynchus alexandrinus,0.001086371064383856,117,very warm,short-and long-distance,Plovers,perc_grass_shrub,0.008259095784329309,Grass/Shrubland (% coverage),-3.239824464423229,TRUE,-1,Negative,8.97244267807005e-6,8.97244267807005e-6,-8.97244267807005e-6,-
Cluster 1,Coccothraustes_coccothraustes,Coccothraustes coccothraustes,0.001008298789964888,118,warm,sedentary,Passerine seedeaters,perc_urban,0.016391987873683695,Urban (% coverage),2.082449646156946,TRUE,1,Positive,1.6528021538154386e-5,1.6528021538154386e-5,1.6528021538154386e-5,+
Cluster 1,Coccothraustes_coccothraustes,Coccothraustes coccothraustes,0.001008298789964888,118,warm,sedentary,Passerine seedeaters,perc_cropland,0.00587569527611388,Cropland (% coverage),0.5220416964807498,TRUE,1,Positive,5.924456437108033e-6,5.924456437108033e-6,5.924456437108033e-6,+
Cluster 1,Coccothraustes_coccothraustes,Coccothraustes coccothraustes,0.001008298789964888,118,warm,sedentary,Passerine seedeaters,perc_forest,0.023272662946881094,Forest (% coverage),2.16426060295839,TRUE,1,Positive,2.346579788860089e-5,2.346579788860089e-5,2.346579788860089e-5,+
Cluster 1,Caprimulgus_europaeus,Caprimulgus europaeus,0.0010030242670609093,119,very warm,long-distance,Nigthjars,prec_breeding,0.017028796090376136,Precipitation,0.01565505885280557,TRUE,1,Positive,1.7080295717479203e-5,1.7080295717479203e-5,1.7080295717479203e-5,+
Cluster 1,Caprimulgus_europaeus,Caprimulgus europaeus,0.0010030242670609093,119,very warm,long-distance,Nigthjars,perc_pasture,0.007641627734532334,Pasture (% coverage),1.260544344429604,TRUE,1,Positive,7.664738057581612e-6,7.664738057581612e-6,7.664738057581612e-6,+
Cluster 1,Caprimulgus_europaeus,Caprimulgus europaeus,0.0010030242670609093,119,very warm,long-distance,Nigthjars,perc_forest,0.0934710087360091,Forest (% coverage),2.906466999047404,TRUE,1,Positive,9.375369002887938e-5,9.375369002887938e-5,9.375369002887938e-5,+
Cluster 1,Asio_flammeus,Asio flammeus,9.887797728754392e-4,120,very cold,sedentary and short-distance,Owls,tmean_breeding,0.01293874957272874,Temperature,1.253901430075245,TRUE,1,Positive,1.279357386381491e-5,1.279357386381491e-5,1.279357386381491e-5,+
Cluster 1,Asio_flammeus,Asio flammeus,9.887797728754392e-4,120,very cold,sedentary and short-distance,Owls,perc_forest,0.013553292238580138,Forest (% coverage),1.53319170384363,TRUE,1,Positive,1.3401221221377721e-5,1.3401221221377721e-5,1.3401221221377721e-5,+
Cluster 1,Asio_flammeus,Asio flammeus,9.887797728754392e-4,120,very cold,sedentary and short-distance,Owls,perc_grass_shrub,0.010970651187247655,Grass/Shrubland (% coverage),2.862601969159495,TRUE,1,Positive,1.0847557989222403e-5,1.0847557989222403e-5,1.0847557989222403e-5,+
Cluster 1,Spinus_spinus,Spinus spinus,9.682048184425638e-4,121,very cold,sedentary and short-distance,Passerine seedeaters,perc_cropland,0.012347844528619796,Cropland (% coverage),-0.5305133801208752,TRUE,-1,Negative,1.1955242569989335e-5,1.1955242569989335e-5,-1.1955242569989335e-5,-
Cluster 1,Spinus_spinus,Spinus spinus,9.682048184425638e-4,121,very cold,sedentary and short-distance,Passerine seedeaters,perc_forest,0.01835375999904311,Forest (% coverage),1.324754193486621,TRUE,1,Positive,1.7770198867611924e-5,1.7770198867611924e-5,1.7770198867611924e-5,+
Cluster 1,Panurus_biarmicus,Panurus biarmicus,9.600264344869002e-4,122,very warm,sedentary,Reedlings,tmean_breeding,0.044360236043725736,Temperature,2.695430680455966,TRUE,1,Positive,4.258699924205529e-5,4.258699924205529e-5,4.258699924205529e-5,+
Cluster 1,Panurus_biarmicus,Panurus biarmicus,9.600264344869002e-4,122,very warm,sedentary,Reedlings,perc_pasture,0.008038711386075353,Pasture (% coverage),1.915146276343424,TRUE,1,Positive,7.71737542984317e-6,7.71737542984317e-6,7.71737542984317e-6,+
Cluster 1,Botaurus_stellaris,Botaurus stellaris,9.366890088298007e-4,123,very warm,sedentary and short-distance,Wading birds,tmean_breeding,0.049480641471918815,Temperature,2.90340428783587,TRUE,1,Positive,4.634797301659437e-5,4.634797301659437e-5,4.634797301659437e-5,+
Cluster 1,Botaurus_stellaris,Botaurus stellaris,9.366890088298007e-4,123,very warm,sedentary and short-distance,Wading birds,perc_urban,0.014038594814263127,Urban (% coverage),-1.934635197825225,TRUE,-1,Negative,1.3149797461935309e-5,1.3149797461935309e-5,-1.3149797461935309e-5,-
Cluster 1,Acrocephalus_arundinaceus,Acrocephalus arundinaceus,9.334302889293773e-4,124,very warm,long-distance,Marsh warblers,prec_breeding,0.008092254440003766,Precipitation,-0.01590283940510947,TRUE,-1,Negative,7.553555400022752e-6,7.553555400022752e-6,-7.553555400022752e-6,-
Cluster 1,Charadrius_dubius,Charadrius dubius,8.995196995815497e-4,125,warm,short-and long-distance,Plovers,tmean_breeding,0.0016653703642519866,Temperature,-0.4640128305389458,TRUE,-1,Negative,1.498033449743963e-6,1.498033449743963e-6,-1.498033449743963e-6,-
Cluster 1,Charadrius_dubius,Charadrius dubius,8.995196995815497e-4,125,warm,short-and long-distance,Plovers,hh,0.0035762451289277574,Land-use heterogeneity,0.6670287684198397,TRUE,1,Positive,3.2169029440030766e-6,3.2169029440030766e-6,3.2169029440030766e-6,+
Cluster 1,Charadrius_dubius,Charadrius dubius,8.995196995815497e-4,125,warm,short-and long-distance,Plovers,perc_urban,0.01401432834048626,Urban (% coverage),2.302343023525391,TRUE,1,Positive,1.2606164418671399e-5,1.2606164418671399e-5,1.2606164418671399e-5,+
Cluster 1,Charadrius_dubius,Charadrius dubius,8.995196995815497e-4,125,warm,short-and long-distance,Plovers,perc_cropland,0.013039245260470012,Cropland (% coverage),0.9887400890611682,TRUE,1,Positive,1.172905797946813e-5,1.172905797946813e-5,1.172905797946813e-5,+
Cluster 1,Charadrius_dubius,Charadrius dubius,8.995196995815497e-4,125,warm,short-and long-distance,Plovers,perc_pasture,0.0025153025856264294,Pasture (% coverage),1.295193692183457,TRUE,1,Positive,2.262564226179381e-6,2.262564226179381e-6,2.262564226179381e-6,+
Cluster 1,Charadrius_dubius,Charadrius dubius,8.995196995815497e-4,125,warm,short-and long-distance,Plovers,perc_forest,0.003988406987141439,Forest (% coverage),1.042606563392147,TRUE,1,Positive,3.5876506548824206e-6,3.5876506548824206e-6,3.5876506548824206e-6,+
Cluster 1,Phoenicurus_ochruros,Phoenicurus ochruros,8.637517405002236e-4,126,very warm,sedentary and short-distance,Low flycatching feeders,perc_urban,0.04427383408976031,Urban (% coverage),2.360216311042447,TRUE,1,Positive,3.8241601253648596e-5,3.8241601253648596e-5,3.8241601253648596e-5,+
Cluster 1,Chlidonias_niger,Chlidonias niger,8.283345125200223e-4,127,very warm,long-distance,Terns,tmean_breeding,0.014234825212339557,Temperature,1.48959144107711,TRUE,1,Positive,1.179119700307101e-5,1.179119700307101e-5,1.179119700307101e-5,+
Cluster 1,Chlidonias_niger,Chlidonias niger,8.283345125200223e-4,127,very warm,long-distance,Terns,prec_breeding,0.006550778547970174,Precipitation,0.01427098037469665,TRUE,1,Positive,5.426235955159494e-6,5.426235955159494e-6,5.426235955159494e-6,+
