survey,beta_turnover,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
BF28_1,0.20900756874622403,BF28,462500.0991430791,6192499.760439191,8.54531145881255,134.491269075364,0.536860725835367,0.0173901462014008,0.624511427803327,0.243629083760977,0.02435466747109,0.0853868941798779,-0.018551694072405787,1.0255940740449494e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF29_1,0.3051770783211263,BF29,462500.07854237576,6197499.791339589,8.58230827785117,133.267918569713,0.660104481079519,0,0.50178269206882,0.129231669178737,0,0.170482672286593,0.10378292824292547,5.85053631567304e-7,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF31_1,0.19054513718031801,BF31,467500.0528761789,6157499.8339712275,8.5066947997859,132.039686014122,0.445636723545194,0.0607856907201706,0.728657217712941,0.0613129137259207,0.0262784583017193,0.122965719539248,-0.03908909550161826,5.4351641544117896e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF32_1,0.2153734479737883,BF32,467500.0828731935,6162499.869694816,8.52158453307273,134.853411795226,0.749190047141829,0.285945701830793,0.182621482115701,0.106052649979116,0.0836339567225079,0.341746209351881,-0.00940802716028915,7.672129085939224e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF33_1,0.18970729231764008,BF33,467500.09141173307,6167499.831571815,8.49840468504347,136.021992060501,0.431166723533888,0.152438322797825,0.733282584675153,0.0243546680387017,0.00491313970672891,0.0850112847815915,-0.03611296928597583,3.11067682964909e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
AF98_1,0.3768187521469695,AF98,447500.13873657817,6192499.683587027,8.54637254719238,128.117911276935,0.464712421207272,0,0,0.221665486279843,0,0,0.20897341056824764,8.876971168215314e-7,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF34_1,0.2916077326938954,BF34,467500.07979854086,6172499.830867704,8.41707920718202,138.752810727074,0.187610418606341,0.104785133507317,0.895214866492683,0,0,0,0.06929748948267571,4.646066167233021e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF35_1,0.21677144329302842,BF35,467500.11046438524,6177499.755797745,8.38769281651892,138.938019418917,0.441992084237959,0.214787254202259,0.71352267134564,0,0.0455922235534787,0.0260978508986225,-0.007211629361036559,2.9922053554636843e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF36_1,0.20627018370783037,BF36,467500.05907752085,6182499.718568934,8.4112072573961,139.274570550615,0.111762778418777,0.0538731032843727,0.94081750783659,0,0,0.0053093888790373,-0.01891780160564601,1.570675866148656e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF37_1,0.21127913861110229,BF37,467500.11425610323,6187499.71774681,8.43546053461709,140.541528324195,0.0197076788540617,0.00296729317827211,0.990068185408773,0,0.00696452141295451,0,-0.013812944124554024,8.342930676413615e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF38_1,0.19320083874900076,BF38,467500.08834202494,6192499.754719362,8.4814410008133,138.799202145182,0.594827649597323,0.132569367818563,0.599679104781408,0.0974186721549598,0.127857744211688,0.042475111033381,-0.035280762999940214,3.7739129695099646e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF39_1,0.19841786983451973,BF39,467500.1070246964,6197499.8285216,8.5695470528987,136.168652204552,0.644668537080674,0.24599561027927,0.514218451806227,0,0,0.148601490809604,-0.028757597304324752,4.569088676548595e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF40_1,0.18105611380220749,BF40,472500.05446232,6152499.831390551,8.47154766403029,137.335932147795,0.286947023480266,0.0968446606215019,0.837328021612109,0,0.0237806586349441,0.0420466591314445,-0.046784016767087926,1.292288718769612e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF41_1,0.1860435322666981,BF41,472500.085972153,6157499.883806649,8.49387197030674,135.749075623684,0.141945661929548,0.0243546673300185,0.925282650279297,0,0.0299250450765291,0.0204376373141557,-0.04210560216336616,6.4824322252984075e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF42_1,0.2189698918203979,BF42,472500.07961185457,6162499.862346774,8.46799916752551,138.052197990387,0.444259619915569,0.0229807422468685,0.719445106859525,0,0.170610668975006,0.0869634819185999,-0.004889375747798051,1.5138142257976759e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF43_1,0.22353325850178218,BF43,472500.098778225,6167499.766588567,8.54250642936514,133.04352035595,0.686022467816647,0.137719935261299,0.4543251548862,0.0716900769086541,0.0560474112784334,0.280217421665413,-4.899680859355144e-5,1.2296363454772466e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
AF99_1,0.34333989677055216,AF99,447500.1235891788,6197499.754315107,8.54436782993506,128.890239244196,0.474758153387068,0,0,0.387657117241607,0,0,0.1669932367841196,6.177271353719916e-7,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF44_1,0.19022562753250977,BF44,472500.0822753295,6172499.819486889,8.49603847175723,135.616175108159,0.303774571338717,0.070718094187077,0.82624257476391,0,0.0229807422466639,0.0800585888023493,-0.03604971904883439,1.0544951282699363e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF45_1,0.19709019878514525,BF45,472500.09195236844,6177499.798039483,8.42285681995244,139.088900703356,0.334450720657967,0.113613430007046,0.803610190906931,0,0,0.0827763790860233,-0.026379216187025375,4.708521662512538e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF46_1,0.20592020358915786,BF46,472500.06605603127,6182499.813911805,8.37874822150893,142.987380699559,0.119190690117497,0.0201808436894107,0.937218538025166,0.0243546673297902,0,0.0182459509556332,-0.018116148817528575,2.579232706485439e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF47_1,0.263864286689396,BF47,472500.06699141755,6187499.755388988,8.39429637707846,140.794502578032,0.0941743206073443,0.0487613830427504,0.950496793684248,0,0,7.41823273001823e-4,0.04082001150498372,2.3465506161258824e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF48_1,0.2434567711919841,BF48,472500.0957205096,6192499.73373965,8.50351597117725,138.045654213224,0.182214404765994,0.0534357177904544,0.901465868904354,0,0.0450984133051913,0,0.021459787457381984,6.329437741815814e-6,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF49_1,0.2074657034233843,BF49,472500.0900039778,6197499.749339143,8.56684288781417,139.45981582037,0.480113735028795,0.109848518811009,0.692574812646722,0,0.16104466754901,0.0365320009932598,-0.017225719579197822,7.316688229705402e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF50_1,0.18592145142814204,BF50,477500.08187685715,6152499.846936376,8.53464192427209,136.54011957162,0.21560128203731,0.0487093360191345,0.881569681382463,0,0.0697209825984022,0,-0.04424742573963755,1.1661527186051057e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF51_1,0.20499733395384834,BF51,477500.02976028406,6157499.8520273,8.4681672475315,140.160136245325,0.224321059318279,0.0974186720427136,0.874883638560721,0,0.0276976893965651,0,-0.019689430044175144,9.214992124514238e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
