response,site_filter,atlas,period,model_id,model_type,predictor,model_label,formula,bandwidth,adaptive,bandwidth_value,n_sites,aicc,aic,bic,rss,enp,edf,gw_r2,gw_r2_adj,local_r2_mean,local_r2_median,local_r2_min,local_r2_max
cwm_sti,common-sites,2,1990s,intercept_only,intercept_only,NA,Intercept only,cwm_sti ~ 1,fixed_100km,FALSE,100000,1726,-2910.6876819173394,-2922.151968991328,-4587.954258055807,18.49056905439559,12.268516535298678,1713.7314834647013,0.1048472270210501,0.09843513224557798,0.11033202009135026,0.1129438247566859,-0.020297747215066875,0.3424753285625396
cwm_sti,common-sites,2,1990s,perc_cropland,single_predictor,perc_cropland,Cropland (% coverage),cwm_sti ~ perc_cropland,fixed_100km,FALSE,100000,1726,-3931.1627527975925,-3952.4159689449875,-5557.272684216377,10.123717306094921,24.495711442317173,1701.5042885576827,0.5098975270719662,0.5028376161768318,0.5006318737419366,0.5232089962336699,0.22935683650494545,0.7155028754241964
cwm_sti,common-sites,2,1990s,perc_forest,single_predictor,perc_forest,Forest (% coverage),cwm_sti ~ perc_forest,fixed_100km,FALSE,100000,1726,-2933.5167197118553,-2954.2790761028077,-4562.160598778349,18.0554452169783,23.818346357381408,1702.1816536426186,0.1259121444125858,0.11367398792495675,0.13730650983624831,0.1361772025404372,-0.013650729936030608,0.3437909231956133
cwm_sti,common-sites,2,1990s,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),cwm_sti ~ perc_grass_shrub,fixed_100km,FALSE,100000,1726,-2937.4815521577098,-2957.570493137939,-4569.607075311374,18.027770511149242,23.12472998181599,1702.875270018184,0.12725191332891161,0.11539319242147406,0.13882125427604727,0.14629300327007771,-0.003348479376656334,0.3700549958939929
cwm_sti,common-sites,2,1990s,perc_pasture,single_predictor,perc_pasture,Pasture (% coverage),cwm_sti ~ perc_pasture,fixed_100km,FALSE,100000,1726,-3060.9128512890484,-3082.0292795307905,-4687.728591387411,16.76404177219772,24.232510859675564,1701.7674891403244,0.18843068406537689,0.17686745605958643,0.18886493609989197,0.20044831314835385,0.013982887540557183,0.3643491206240053
cwm_sti,common-sites,2,1990s,perc_urban,single_predictor,perc_urban,Urban (% coverage),cwm_sti ~ perc_urban,fixed_100km,FALSE,100000,1726,-2994.3516893417273,-3013.9561407972205,-4628.9858850551755,17.45303737643529,22.315798151174633,1703.6842018488253,0.15507550046398566,0.14400171205145773,0.1540780519202854,0.16246188978172466,0.009158528171501019,0.41679695618504775
cwm_sti,common-sites,2,1990s,prec_breeding,single_predictor,prec_breeding,Precipitation,cwm_sti ~ prec_breeding,fixed_100km,FALSE,100000,1726,-3123.951718623586,-3143.1641108977906,-4760.618318757886,16.19773762113057,21.419246132262305,1704.5807538677375,0.21584621301345663,0.20598698976802032,0.19549079036409478,0.20256831994373345,0.00893697812918417,0.5191094753853189
cwm_sti,common-sites,2,1990s,tmean_breeding,single_predictor,tmean_breeding,Temperature,cwm_sti ~ tmean_breeding,fixed_100km,FALSE,100000,1726,-3170.666973113407,-3189.295734284964,-4810.362947484572,15.775663446243664,20.89644615267712,1705.103553847323,0.23627937907456287,0.22691431038796395,0.24182150075986508,0.25970194093374427,0.021178605223572792,0.4181171721957435
cwm_sti,common-sites,3,2010s,hh,single_predictor,hh,Land-use heterogeneity,cwm_sti ~ hh,fixed_100km,FALSE,100000,1726,-4207.58181216812,-4228.107961569019,-5837.446213287418,8.63267484645922,23.637350610175535,1702.3626493898246,0.3248636177249321,0.3154838212522374,0.3382274725192829,0.33746302874600964,0.16837562495278363,0.7286873706827457
cwm_sti,common-sites,3,2010s,intercept_only,intercept_only,NA,Intercept only,cwm_sti ~ 1,fixed_100km,FALSE,100000,1726,-3771.2187845748967,-3782.6830716488853,-5448.485360713365,11.231150775920504,12.268516535298678,1713.7314834647013,0.12164437575789677,0.115352601125432,0.12290327647358412,0.13499510366122225,-0.02064867970667995,0.5666257412879175
cwm_sti,common-sites,3,2010s,perc_cropland,single_predictor,perc_cropland,Cropland (% coverage),cwm_sti ~ perc_cropland,fixed_100km,FALSE,100000,1726,-5230.9584768668765,-5252.155220470795,-6857.3597690635,4.767760313299963,24.422909911345016,1701.577090088655,0.627127338081517,0.6217723115534555,0.6237357249013296,0.6406123733382343,0.2819228387723561,0.7948973266413099
cwm_sti,common-sites,3,2010s,perc_forest,single_predictor,perc_forest,Forest (% coverage),cwm_sti ~ perc_forest,fixed_100km,FALSE,100000,1726,-3812.8141643543804,-3833.687320800136,-5440.885780206263,10.84690163761822,23.97286452439443,1702.0271354756057,0.1516953828605354,0.13974008171455077,0.1652147588535132,0.18019081931384712,-0.019649697951744725,0.5792380968857859
cwm_sti,common-sites,3,2010s,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),cwm_sti ~ perc_grass_shrub,fixed_100km,FALSE,100000,1726,-3806.547590154999,-3826.898903905604,-5437.315882875932,10.892793844735156,23.38359369666242,1702.6164063033377,0.14810628686901273,0.1363995729546401,0.1443911155435483,0.16470293202297373,-0.00270454489888057,0.5701911222162269
cwm_sti,common-sites,3,2010s,perc_pasture,single_predictor,perc_pasture,Pasture (% coverage),cwm_sti ~ perc_pasture,fixed_100km,FALSE,100000,1726,-4052.8856611568954,-4074.18339482771,-5678.765942039615,9.43387930614372,24.423761452885408,1701.5762385471146,0.26220374810226144,0.2516074812318162,0.25150761294041574,0.2607763410010166,-0.0010997792719040216,0.5958660134133352
cwm_sti,common-sites,3,2010s,perc_urban,single_predictor,perc_urban,Urban (% coverage),cwm_sti ~ perc_urban,fixed_100km,FALSE,100000,1726,-3798.878045721689,-3818.4087921494056,-5433.894163118882,10.951488983043765,22.218422468507445,1703.7815775314925,0.14351591088015425,0.1323402406822145,0.13974808327226407,0.15569246996816488,-0.01462023602213926,0.6320430540004517
cwm_sti,common-sites,3,2010s,prec_breeding,single_predictor,prec_breeding,Precipitation,cwm_sti ~ prec_breeding,fixed_100km,FALSE,100000,1726,-4021.5822115987357,-4040.2038196112003,-5661.315343705375,9.635731178250818,20.692377205957918,1705.3076227940421,0.24641750048913236,0.23726808806667088,0.22561208270669011,0.20946582192711463,-0.001631507417957492,0.591044043991506
cwm_sti,common-sites,3,2010s,tmean_breeding,single_predictor,tmean_breeding,Temperature,cwm_sti ~ tmean_breeding,fixed_100km,FALSE,100000,1726,-3979.894796671678,-3998.6423326890936,-5618.973886348362,9.869881236118548,21.025842340746237,1704.9741576592537,0.22810530574185117,0.2185806682512068,0.2310559792904534,0.23821826615585745,0.0048906086986352185,0.6679425253061135
