response,site_filter,atlas,period,model_id,model_type,predictor,model_label,formula,bandwidth,adaptive,bandwidth_value,n_sites,aicc,aic,bic,rss,enp,edf,gw_r2,gw_r2_adj,local_r2_mean,local_r2_median,local_r2_min,local_r2_max
richness,common-sites,2,1990s,perc_cropland,single_predictor,perc_cropland,Cropland (% coverage),richness ~ perc_cropland,fixed_100km,FALSE,100000,1726,13577.938803905088,13556.685587757693,11951.828872486303,257610.4793677481,24.495711442317173,1701.5042885576827,0.16337745927248393,0.15132593756701285,0.16315037250511266,0.16804639914074768,0.03420925573159039,0.41163893140432245
richness,common-sites,2,1990s,perc_forest,single_predictor,perc_forest,Forest (% coverage),richness ~ perc_forest,fixed_100km,FALSE,100000,1726,13544.50716488683,13523.744808495878,11915.863285820336,252809.23408321835,23.818346357381408,1702.1816536426186,0.17897010922390577,0.16747482048363804,0.16982149394699744,0.1636170638729323,0.07261770838634896,0.4695862897006208
richness,common-sites,2,1990s,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),richness ~ perc_grass_shrub,fixed_100km,FALSE,100000,1726,13669.87981803167,13649.79087705144,12037.754294878006,272063.65446694195,23.12472998181599,1702.875270018184,0.11643894922916509,0.1044333039968286,0.10681459715635643,0.0976806079615277,0.006764662645199195,0.3674687716901111
richness,common-sites,2,1990s,perc_pasture,single_predictor,perc_pasture,Pasture (% coverage),richness ~ perc_pasture,fixed_100km,FALSE,100000,1726,13676.88355333552,13655.767125093778,12050.067813237158,272852.0243754474,24.232510859675564,1701.7674891403244,0.11387861846348446,0.10125317369329534,0.10254882095586297,0.09471806752649511,0.012450132656234259,0.380957896985316
richness,common-sites,2,1990s,perc_urban,single_predictor,perc_urban,Urban (% coverage),richness ~ perc_urban,fixed_100km,FALSE,100000,1726,13694.765883148197,13675.161431692703,12060.131687434747,276166.46644928603,22.315798151174633,1703.6842018488253,0.10311454956491084,0.0913597481431897,0.09505233239698342,0.09259368326864156,0.014565427717685299,0.3472584815495814
richness,common-sites,2,1990s,prec_breeding,single_predictor,prec_breeding,Precipitation,richness ~ prec_breeding,fixed_100km,FALSE,100000,1726,13685.31098849232,13666.098596218117,12048.644388358021,274779.98086394963,21.419246132262305,1704.5807538677375,0.10761733646990435,0.0963973435984663,0.10106320131691199,0.09842854964162376,2.803791890248446e-5,0.3773866271101444
richness,common-sites,2,1990s,tmean_breeding,single_predictor,tmean_breeding,Temperature,richness ~ tmean_breeding,fixed_100km,FALSE,100000,1726,13708.051754988035,13689.422993816477,12068.35578061687,278608.79366126517,20.89644615267712,1705.103553847323,0.09518278373617273,0.08408752828941002,0.085995968907666,0.0756553023511255,-9.777072262897183e-4,0.35437116902633614
richness,common-sites,3,2010s,hh,single_predictor,hh,Land-use heterogeneity,richness ~ hh,fixed_100km,FALSE,100000,1726,12825.929041398424,12805.402891997526,11196.064640279126,166763.58326655568,23.637350610175535,1702.3626493898246,0.23618046351001865,0.22556857533121644,0.22093942340318176,0.219815435062646,0.029698618165854045,0.43244628373500316
richness,common-sites,3,2010s,intercept_only,intercept_only,NA,Intercept only,richness ~ 1,fixed_100km,FALSE,100000,1726,13086.650388997346,13075.186101923357,11409.383812858878,195968.06289781345,12.268516535298678,1713.7314834647013,0.1024165346088095,0.09598702847006191,0.0847113072037195,0.07222096991540786,-0.021781167981002592,0.33073943240084325
richness,common-sites,3,2010s,perc_cropland,single_predictor,perc_cropland,Cropland (% coverage),richness ~ perc_cropland,fixed_100km,FALSE,100000,1726,12875.109032874228,12853.912289270309,11248.707740677604,171453.33498626173,24.422909911345016,1701.577090088655,0.21470021035982523,0.20342209416764467,0.20950135871409092,0.20219875837355816,0.06243854085933642,0.452849059184094
richness,common-sites,3,2010s,perc_forest,single_predictor,perc_forest,Forest (% coverage),richness ~ perc_forest,fixed_100km,FALSE,100000,1726,12894.355679634406,12873.48252318865,11266.284063782523,173439.46361150575,23.97286452439443,1702.0271354756057,0.20560323717042983,0.19440766857733627,0.1858647278271478,0.1753793309214931,-0.019648681985597948,0.4994218438879907
richness,common-sites,3,2010s,perc_grass_shrub,single_predictor,perc_grass_shrub,Grass/Shrubland (% coverage),richness ~ perc_grass_shrub,fixed_100km,FALSE,100000,1726,13081.308797409738,13060.957483659133,11450.540504688806,193395.19551964095,23.38359369666242,1702.6164063033377,0.11420092020278372,0.1020282791174445,0.0965472283037576,0.08251392499209284,-0.024132844917150103,0.3402164999067455
richness,common-sites,3,2010s,perc_pasture,single_predictor,perc_pasture,Pasture (% coverage),richness ~ perc_pasture,fixed_100km,FALSE,100000,1726,12987.99943715253,12966.701703481716,11362.11915626981,183021.30646240845,24.423761452885408,1701.5762385471146,0.16171596501102825,0.14967648754671603,0.1449523859803389,0.12984251685639686,0.0010045620556989772,0.3648278628320885
richness,common-sites,3,2010s,perc_urban,single_predictor,perc_urban,Urban (% coverage),richness ~ perc_urban,fixed_100km,FALSE,100000,1726,13038.284506852639,13018.753760424921,11403.268389455445,188809.5827183312,22.218422468507445,1703.7815775314925,0.1352041906759326,0.12392006657329113,0.12176478844380967,0.11212106960242721,0.002301871739666602,0.32462963117102916
richness,common-sites,3,2010s,prec_breeding,single_predictor,prec_breeding,Precipitation,richness ~ prec_breeding,fixed_100km,FALSE,100000,1726,13061.527056492952,13042.905448480487,11421.793924386313,191566.87570326368,20.692377205957918,1705.3076227940421,0.12257508899519054,0.11192207836166967,0.10423360827271633,0.09213196929550921,-0.006957911174933384,0.380521708639557
richness,common-sites,3,2010s,tmean_breeding,single_predictor,tmean_breeding,Temperature,richness ~ tmean_breeding,fixed_100km,FALSE,100000,1726,13057.945778447109,13039.198242429693,11418.866688770426,191142.47371918158,21.025842340746237,1704.9741576592537,0.1245189577968634,0.11371613764672561,0.10569568420605634,0.09053668274222114,8.084423350712876e-4,0.33982727170159593
