atlas,survey,beta_turnover,site,X,Y
1,DF10_1,0.1939073056945472,DF10,557500.0539540383,6152499.913491488
1,DF14_1,0.20975133425112327,DF14,557500.0426793615,6172499.947726307
1,DF15_1,0.20543183735536133,DF15,557500.0018913269,6177499.856621167
1,DF16_1,0.1913071060413847,DF16,557500.0236227086,6182499.915863126
1,DF17_1,0.1878062779697761,DF17,557499.9860512931,6187499.789903091
1,DF18_1,0.22457786571813082,DF18,557500.0093904075,6192499.814239048
1,DF19_1,0.18739529043641467,DF19,557500.0331405934,6197499.765436237
1,DF20_1,0.18131566060450388,DF20,562500.08334866,6152499.927340711
1,DF24_1,0.18823843677304883,DF24,562500.0367152442,6172499.862543065
1,DF25_1,0.2325393012535358,DF25,562499.9763535939,6177499.886270679
1,DF26_1,0.18770217798685157,DF26,562499.9653456258,6182499.837874897
1,DF27_1,0.41748053745844943,DF27,562500.0011427227,6187499.828616493
1,DF28_1,0.23684520295430772,DF28,562499.9576474453,6192499.856666409
1,DF29_1,0.20841530547515438,DF29,562499.9609393289,6197499.812510072
1,DF30_1,0.17748532859889246,DF30,567500.0600414778,6152499.957596392
1,DF31_1,0.22343351438268638,DF31,567500.0347013446,6157499.951350236
1,DF37_1,0.2465270824464544,DF37,567499.9700276025,6187499.839556279
1,DF38_1,0.27534027328595767,DF38,567499.9855262494,6192499.88279332
1,DF39_1,0.2452004523964538,DF39,567499.9689031657,6197499.852938899
1,DF40_1,0.19230713452157883,DF40,572500.0649841583,6152499.8935916675
1,DF41_1,0.19561063529722397,DF41,572500.0874127243,6157499.909943095
1,DF48_1,0.22132324065196593,DF48,572499.9843263607,6192499.890549853
1,DF49_1,0.19391441336173365,DF49,572499.9503513994,6197499.773365588
1,DF51_1,0.18075742185032928,DF51,577500.0572356211,6157499.892787818
1,DF52_1,0.26303550450846636,DF52,577500.0677353318,6162499.979763222
1,DF59_1,0.24432869043821512,DF59,577499.9181351293,6197499.795993284
1,DF60_1,0.2126420052596201,DF60,582500.0903572468,6152499.924879827
1,BD55_1,0.2363122276776836,BD55,477500.05691394093,6277499.685499792
1,DF61_1,0.18754016080144983,DF61,582500.0863001315,6157499.901682529
1,DF62_1,0.2008643068197835,DF62,582500.0688732299,6162499.91803773
1,DF70_1,0.21713255169673906,DF70,587500.0815321453,6152499.907091927
1,DF71_1,0.18130500804850339,DF71,587500.064427627,6157499.934001944
1,DF72_1,0.3194438348361034,DF72,587500.0831289394,6162499.89047789
1,DF80_1,0.21330618448656982,DF80,592500.1000892023,6152499.904054666
1,BD56_1,0.2690112213560769,BD56,477500.0801616678,6282499.719876353
1,DF81_1,0.1984795364063572,DF81,592500.1360954175,6157499.880622524
1,DF96_1,0.1918685940114499,DF96,597500.0114531335,6182499.907238431
1,DF97_1,0.22306814693746138,DF97,597499.9710038947,6187499.863307686
1,DF98_1,0.26084071092664873,DF98,597499.9873134624,6192499.861592982
1,DG00_1,0.23879818965690372,DG00,552500.1089325006,6102499.820040352
1,DG07_1,0.21844453005152775,DG07,552500.0776589774,6137499.8553233305
1,BD57_1,0.2805685671953148,BD57,477500.05835724296,6287499.679689139
1,DG08_1,0.2365062336964153,DG08,552500.0980597695,6142499.949654789
1,DG09_1,0.2307391451916786,DG09,552500.0800114883,6147499.859026643
1,DG14_1,0.23206906931425306,DG14,557500.0859443847,6122499.842967669
1,DG15_1,0.21310532328532608,DG15,557500.1128352805,6127499.926189727
1,DG16_1,0.23800463398559957,DG16,557500.0859944862,6132499.9357982185
1,DG17_1,0.24385124114034754,DG17,557500.0682798454,6137499.872589368
1,DG18_1,0.2534199884019035,DG18,557500.0560698126,6142499.959101104
1,DG19_1,0.1928937372299617,DG19,557500.051534985,6147499.972744273
1,DG22_1,0.36893948492010215,DG22,562500.0912223725,6112499.9040538985
1,BD58_1,0.19691806130719985,BD58,477500.0542861005,6292499.787203539
1,DG23_1,0.20549422117858915,DG23,562500.0828425015,6117499.910760884
1,DG24_1,0.19100266651770156,DG24,562500.1336018639,6122499.845666463
1,DG25_1,0.17732757009485925,DG25,562500.112409009,6127499.929512105
1,DG26_1,0.2091067547017903,DG26,562500.085315404,6132499.940609023
1,DG27_1,0.19275356526755297,DG27,562500.1149576314,6137499.879825633
