response,response_label,period,predictor,driver_label,n_cells,local_vif_mean,local_vif_median,local_vif_q90,local_vif_q95,local_vif_max,n_vif_gt_5,percent_vif_gt_5,n_vif_gt_10,percent_vif_gt_10
beta_turnover,All-site beta turnover,1990s,perc_forest,Forest (% coverage),1850,2.312361472229041,2.096267784939694,3.534636234109533,3.8824699538962513,4.549203051692126,0,0,0,0
beta_turnover,All-site beta turnover,1990s,tmean_breeding,Temperature,1850,1.6772629015978264,1.5735663743825263,2.030468871012893,2.2146048632564375,4.1236152839843765,0,0,0,0
beta_turnover,All-site beta turnover,1990s,prec_breeding,Precipitation,1850,1.5689640337355804,1.5060849541610684,2.065935134306642,2.254253434907022,2.835487335448475,0,0,0,0
beta_turnover,All-site beta turnover,1990s,perc_grass_shrub,Grass/Shrubland (% coverage),1850,1.503619462862442,1.5009270336568092,1.7739527520421288,1.8702810933288556,2.5925102025908884,0,0,0,0
beta_turnover,All-site beta turnover,1990s,perc_urban,Urban (% coverage),1850,1.6444598155314496,1.5811322026395647,2.102322089343598,2.3052602616606075,2.5890768193121607,0,0,0,0
beta_turnover,All-site beta turnover,1990s,perc_pasture,Pasture (% coverage),1850,1.4610822929926301,1.3840978712309933,1.8995588582974923,2.100143203865046,2.4057206835401623,0,0,0,0
beta_turnover,All-site beta turnover,2010s,perc_cropland,Cropland (% coverage),1904,3.9283243357909834,3.7887963607212196,5.133148351148355,5.626528904997873,6.384338358883363,225,11.817226890756302,0,0
beta_turnover,All-site beta turnover,2010s,hh,Land-use heterogeneity,1904,2.8225014501908126,2.7342048052642793,3.687738062949074,4.100821918779953,5.301407366105196,17,0.8928571428571429,0,0
beta_turnover,All-site beta turnover,2010s,perc_forest,Forest (% coverage),1904,2.3389725733434035,2.1595066560105316,3.422748236104764,3.881171908412009,4.631857434745814,0,0,0,0
beta_turnover,All-site beta turnover,2010s,tmean_breeding,Temperature,1904,1.6083770487058662,1.4727476183329529,2.1232263170435095,2.2632536617366124,3.3409390615336356,0,0,0,0
beta_turnover,All-site beta turnover,2010s,perc_urban,Urban (% coverage),1904,1.6883160787750735,1.6000573931599622,2.2020771603097176,2.4401785327459105,2.85374107956761,0,0,0,0
beta_turnover,All-site beta turnover,2010s,perc_pasture,Pasture (% coverage),1904,1.4926752592361716,1.370463845755868,2.032326966844997,2.2685043022725897,2.589953403489691,0,0,0,0
beta_turnover,All-site beta turnover,2010s,prec_breeding,Precipitation,1904,1.410647814916537,1.3647953836529172,1.8059840660239834,1.896620193801316,2.1594386123785094,0,0,0,0
beta_turnover,All-site beta turnover,2010s,perc_grass_shrub,Grass/Shrubland (% coverage),1904,1.552917532172712,1.5219332602534428,1.853710186193244,1.901044350742251,2.054652269383272,0,0,0,0
predicted_richness,Predicted richness,1970s,perc_cropland,Cropland (% coverage),1776,4.681974989265523,4.534595890237419,6.2555367417696,6.917282664446059,8.081314161516291,592,33.333333333333336,0,0
predicted_richness,Predicted richness,1970s,hh,Land-use heterogeneity,1776,3.3790111618137417,3.259014513075137,4.340274537397381,5.4871457869757485,7.2442570676582525,125,7.038288288288288,0,0
predicted_richness,Predicted richness,1970s,perc_forest,Forest (% coverage),1776,2.1995078392796072,2.0415548932639975,3.1523693874706424,3.5702263741266456,4.441525979512575,0,0,0,0
predicted_richness,Predicted richness,1970s,tmean_breeding,Temperature,1776,1.5946418813328436,1.5540705182544086,1.8525215470965346,1.9453922924502431,4.3896631094399226,0,0,0,0
predicted_richness,Predicted richness,1970s,perc_grass_shrub,Grass/Shrubland (% coverage),1776,1.7050319242101126,1.6950693266145878,1.9764431971640346,2.028387736602578,3.499433199302217,0,0,0,0
predicted_richness,Predicted richness,1970s,perc_urban,Urban (% coverage),1776,1.6393686109301069,1.5791414446874463,2.0494924005382726,2.274597634172633,2.8924310193052953,0,0,0,0
predicted_richness,Predicted richness,1970s,perc_pasture,Pasture (% coverage),1776,1.7112761915990413,1.6680393206934343,2.2311715030399517,2.4088053724679073,2.707322831709722,0,0,0,0
predicted_richness,Predicted richness,1970s,prec_breeding,Precipitation,1776,1.4151590266486098,1.339066732171899,1.8117528198198576,1.90247812776539,2.4277242246215596,0,0,0,0
predicted_richness,Predicted richness,1990s,perc_cropland,Cropland (% coverage),1850,3.8756906037014747,3.7581840320396687,5.26687575858493,5.860955203990323,6.734617201663583,245,13.243243243243244,0,0
predicted_richness,Predicted richness,1990s,hh,Land-use heterogeneity,1850,2.674923909861751,2.6034991559556255,3.4601441674577202,3.759517866239337,4.5807457090490304,0,0,0,0
predicted_richness,Predicted richness,1990s,perc_forest,Forest (% coverage),1850,2.312361472229041,2.096267784939694,3.534636234109533,3.8824699538962513,4.549203051692126,0,0,0,0
predicted_richness,Predicted richness,1990s,tmean_breeding,Temperature,1850,1.6772629015978264,1.5735663743825263,2.030468871012893,2.2146048632564375,4.1236152839843765,0,0,0,0
predicted_richness,Predicted richness,1990s,prec_breeding,Precipitation,1850,1.5689640337355804,1.5060849541610684,2.065935134306642,2.254253434907022,2.835487335448475,0,0,0,0
