response,site_filter,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction,dominant_driver,direction_plot
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC60_1,BC60,482500.0626082632,6302499.738540966,67.26938443685388,47.5141427547281,19.755241682125785,-6.601812811390985,1.2004700943327664,-5.499356329288936,5.499356329288936,0.11189815244810765,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC62_1,BC62,482500.04548227973,6312499.681136523,37.750070547133014,53.89621954946563,-16.146149002332614,3.3375306242422873,0.7368490256139059,4.529463306898755,4.529463306898755,0.125727709475857,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC64_1,BC64,482500.09264614136,6322499.657199486,46.154097984463384,51.13064613827709,-4.9765481538137095,3.319958097334341,0.7782673840754738,4.2658322387211625,4.2658322387211625,0.10302913466773209,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC65_1,BC65,482500.0574243303,6327499.644156614,51.28103726929712,55.80834671875782,-4.527309449460695,3.310002790688081,0.8014629385471775,4.1299511574274,4.1299511574274,0.09435348618237767,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BC70_1,BC70,487500.0281488765,6302499.681272506,64.7490479030148,51.33316480504429,13.415883097970507,-6.1405462805299464,1.125060020720612,-5.45797216809541,5.45797216809541,0.10569341908355931,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC71_1,BC71,487500.02372481115,6307499.714883644,60.38357626470276,54.13540866818686,6.2481675965158985,3.301411693819995,0.6931949496721606,4.7626020578790484,4.7626020578790484,0.13407079077180264,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC72_1,BC72,487500.06305016344,6312499.673261789,48.22099717192691,54.020039376301135,-5.799042204374224,3.301238559777884,0.7094199273664226,4.653433646885367,4.653433646885367,0.12215262046944367,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC73_1,BC73,487500.0249803983,6317499.668063927,58.48225663276217,50.51256578295401,7.96969084980816,3.2973746465203426,0.7269075853576384,4.536167613243483,4.536167613243483,0.11156722360128352,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC74_1,BC74,487500.03132666176,6322499.698896714,42.587236255358214,50.220851416840325,-7.633615161482112,3.294439830159046,0.7460418796404567,4.4158912791152565,4.4158912791152565,0.10272998077006883,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC75_1,BC75,487500.08176904864,6327499.654417714,51.756777905554216,54.829433271975915,-3.0726553664216993,3.2923077052366594,0.7666882152642287,4.294193701806164,4.294193701806164,0.09587823204397602,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC81_1,BC81,492500.041047909,6307499.729905474,60.25456730865583,53.04506326521227,7.209504043443559,3.257532010018638,0.671271903214224,4.852775744703047,4.852775744703047,0.1295604837815327,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC82_1,BC82,492500.03649829555,6312499.667744995,72.34200623276175,53.27807790370088,19.063928329060865,3.259122934973705,0.6857252195249961,4.752811829250366,4.752811829250366,0.119093521667933,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC83_1,BC83,492499.997856006,6317499.641786334,70.33949581098166,55.85998338325946,14.479512427722199,3.2590811813597504,0.7012098935956523,4.647796916623479,4.647796916623479,0.11008228038789335,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC84_1,BC84,492500.0467049848,6322499.651782474,76.8910128692352,53.79630081694023,23.094712052294966,3.260219276351176,0.7180516681461798,4.540368640557863,4.540368640557863,0.10298530948904053,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC85_1,BC85,492500.0614262203,6327499.586613408,53.17766364480217,53.104232300112756,0.0734313446894177,3.262932944898159,0.7362966847679314,4.431546430127662,4.431546430127662,0.09799895108848458,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC93_1,BC93,497500.0048648076,6317499.628014286,45.9553281467124,52.13559560433837,-6.180267457625973,3.214653384895156,0.6795050787719108,4.730874698839767,4.730874698839767,0.10915923007076035,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC94_1,BC94,497500.0354478817,6322499.62760691,77.14497176600275,55.252786836499894,21.89218492950286,3.2178978759079886,0.6945489352237679,4.633075817575409,4.633075817575409,0.10385254166869763,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC95_1,BC95,497500.0144291096,6327499.551978993,57.76193048274094,54.4147124958866,3.3472179868543392,3.2232321828749537,0.7108259858488866,4.5344883938446445,4.5344883938446445,0.1006619121793698,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BC96_1,BC96,497500.0027015511,6332499.623702109,57.99029213644681,54.26218497245249,3.7281071639943235,3.23218574653767,0.7283987461749045,4.43738510467116,4.43738510467116,0.09959169576729676,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BD00_1,BD00,452500.055170292,6252499.551853021,44.01055121661353,46.766825670374075,-2.756274453760547,2.857930300751234,0.7200138114782957,3.9692714989501066,3.9692714989501066,0.2973936461630665,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD02_1,BD02,452500.0451360465,6262499.658862274,33.29510004960828,46.726034214484024,-13.430934164875744,-5.906935274145269,1.4445157382485945,-4.089214895856477,4.089214895856477,0.27351516048609775,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD03_1,BD03,452500.00491227995,6267499.601946497,31.220349603946705,49.66486246765311,-18.444512863706404,-6.4290539300637874,1.4931189087386019,-4.305788301545991,4.305788301545991,0.26119682384584414,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD04_1,BD04,452500.0060987118,6272499.69329495,28.336475431345725,51.45698684787719,-23.120511416531464,-6.9291720111097845,1.547860042555353,-4.476614048173539,4.476614048173539,0.24763213477546753,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD05_1,BD05,452499.98535578116,6277499.71096541,27.288650392112405,51.77301894171636,-24.484368549603953,-7.378327620259938,1.6099144919336161,-4.58305559533045,4.58305559533045,0.2329293991754928,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD06_1,BD06,452500.00592764583,6282499.765541134,30.774544490237496,51.4975643099218,-20.723019819684303,-7.759625660507538,1.679154574652153,-4.621150296490716,4.621150296490716,0.21707340178551898,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD07_1,BD07,452500.0058695333,6287499.746381921,56.981733734713096,51.71249647394278,5.269237260770318,-8.034598989543753,1.7560771419351933,-4.5753109574045485,4.5753109574045485,0.20013859407064963,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD08_1,BD08,452499.9871680592,6292499.764766518,76.58981591818177,51.41293207403951,25.17688384414226,-8.176122521063917,1.842297140648431,-4.438004239742877,4.438004239742877,0.1819971489899367,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BD10_1,BD10,457500.0642796085,6252499.626853711,37.17791874458678,44.231065266537954,-7.05314652195117,2.8607394383135376,0.6937214160589295,4.123758286958416,4.123758286958416,0.29168177662761163,TRUE,Positive,Land-use heterogeneity,Positive
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD11_1,BD11,457500.03424585843,6257499.62756949,59.03360736470905,47.857168864993156,11.176438499715893,-5.567321062899367,1.3002325676987954,-4.281788659357025,4.281788659357025,0.2803951862601378,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD12_1,BD12,457500.0261392312,6262499.665304576,45.79161920360202,48.11036719906764,-2.318747995465621,-6.031867623511488,1.3393281970662045,-4.503651634247887,4.503651634247887,0.2697408856363564,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD13_1,BD13,457500.03933642176,6267499.628727978,47.5710651799482,49.46291478725447,-1.8918496073062698,-6.503364867863326,1.3821744286841302,-4.70516942934237,4.70516942934237,0.25768173233240016,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD17_1,BD17,457500.0192793853,6287499.743606095,34.29745939823751,43.536208468796154,-9.238749070558647,-7.973191668851399,1.6114481812229078,-4.947842420102298,4.947842420102298,0.19724919071742728,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD18_1,BD18,457500.0290933364,6292499.781524262,78.38756532982666,49.67371979174026,28.713845538086396,-8.095960106420051,1.6871739205916056,-4.79853322032219,4.79853322032219,0.17918716965732726,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD19_1,BD19,457500.063487968,6297499.744964002,67.13935349383976,50.21979818949732,16.919555304342445,-8.079707166855513,1.7726585380892692,-4.557960257571404,4.557960257571404,0.15983163570659295,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD21_1,BD21,462500.04652625887,6257499.613366459,52.861741200880175,46.54994803840436,6.311793162475816,-5.728294484787824,1.2092220110617615,-4.73717351519104,4.73717351519104,0.2755595280232377,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD22_1,BD22,462500.04672205047,6262499.682150681,41.39131854818906,48.35447891639772,-6.963160368208655,-6.151158001220097,1.2438186507724338,-4.945381706087231,4.945381706087231,0.26509434252916103,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD26_1,BD26,462500.0396707308,6282499.770858137,64.70604748676764,49.605369645252914,15.100677841514731,-7.688532322031222,1.417419511349435,-5.424316696975237,5.424316696975237,0.21000240410333207,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD27_1,BD27,462500.0084153306,6287499.80222181,54.827876675882955,44.87186851625408,9.956008159628873,-7.90947040992296,1.4753086530895136,-5.361230948764087,5.361230948764087,0.19323846820666385,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD28_1,BD28,462500.04522956035,6292499.758577253,58.04962780770294,49.351924579477505,8.697703228225436,-8.006770101325742,1.5413320459393813,-5.194708124326274,5.194708124326274,0.1752480339623452,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD31_1,BD31,467500.0543298067,6257499.600372754,44.691541501516376,46.39388604378014,-1.7023445422637664,-5.868067977879463,1.1263989608668714,-5.209582201108766,5.209582201108766,0.26977492428492944,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD32_1,BD32,467500.06232946395,6262499.710226541,35.51008608310488,48.45564496989599,-12.945558886791112,-6.261384333863248,1.1558981843706098,-5.416899531919061,5.416899531919061,0.25939273394042844,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD35_1,BD35,467500.0749060298,6277499.704398919,42.02722825763121,48.683784207902555,-6.656555950271347,-7.359373452443123,1.2586425974336206,-5.847071652786046,5.847071652786046,0.2200971750085407,TRUE,Negative,Precipitation,Negative
richness,common-sites,1,1970s,fixed_100km,100000,prec_breeding,single_predictor,prec_breeding,Precipitation,BD36_1,BD36,467500.0370856172,6282499.739297631,59.792193666621934,50.49705114357179,9.295142523050146,-7.637976014069409,1.3017034836140993,-5.867677324534033,5.867677324534033,0.20469781437377801,TRUE,Negative,Precipitation,Negative
