survey,richness,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
DG00_2,49.14491811661716,DG00,552500.1089325006,6102499.820040352,8.72498032997839,191.611256207947,0.502759638402498,0.101164950557954,0.143027604255144,0,0.0487093339753511,0.0263009462595562,0.07365780890903564,0.019688266952974685,Low-low,0.04473625550928367,8.084712317106615e-238,2,1990s
DG07_2,58.965689217169036,DG07,552500.0776589774,6137499.8553233305,8.58607000160864,196.70745799172,0.740739954265612,0.0487093339756559,0.328381732507478,0.0243546669878279,0.0766537606854798,0.117883347238345,0.012150184977043708,0.008782823668227276,Low-low,0.04473625550928367,8.084712317106615e-238,2,1990s
DG08_2,70.70725403233193,DG08,552500.0980597695,6142499.949654789,8.56849691623922,197.506863323436,0.76752441814156,0.0522214082965309,0.145869338561832,0.0974186679568287,0.0908131672732265,0.169948177820745,-0.05938058690794374,0.00281478735461331,High-low,0.04473625550928367,8.084712317106615e-238,2,1990s
DG09_2,58.93125563645785,DG09,552500.0800114883,6147499.859026643,8.4930063568166,200.561279219579,0.320410460938278,0.0250056927214673,0.81648764805954,0.0944680927618706,0,0.0458898059620833,0.014858739208423727,8.094761306828346e-4,Low-low,0.04473625550928367,8.084712317106615e-238,2,1990s
DG14_2,43.25709510261974,DG14,557500.0859443847,6122499.842967669,8.57731476319955,199.034136554684,0.620688197089812,0.0723125484274115,0.325557405438111,0.0239789400638828,0,0,0.07775399949546154,0.056924313441444496,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG15_2,45.81414314288126,DG15,557500.1128352805,6127499.926189727,8.52097129543015,198.217013751839,0.66265694637097206,0.122524797966702,0.433769569939044,0.0295084397663105,0,0.0530229276934674,0.053541100105870425,0.11716728386569869,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG16_2,54.317171125802986,DG16,557500.0859944862,6132499.9357982185,8.58558557510614,191.667875258654,0.70199486805606,0,0.410606705169076,0.0804632958101617,0,0.269904804118275,0.024293585144811447,0.10264529354024421,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG17_2,79.19307824148018,DG17,557500.0682798454,6137499.872589368,8.49360374953776,198.214219250711,0.561128112867145,0,0.581764588204316,0,0.138290884656815,0.272490462900847,-0.08827010333784184,0.023128838539774012,High-low,0.04473625550928367,8.084712317106615e-238,2,1990s
DG18_2,47.047218541915704,DG18,557500.0560698126,6142499.959101104,8.44323998707255,196.584095572604,0.454675568743519,0.132868054791921,0.718075582646377,0,0.0596519579554178,0.089404404606285,0.07172015411593245,0.013004220191345435,Low-low,0.04473625550928367,8.084712317106615e-238,2,1990s
DG19_2,47.51792822075473,DG19,557500.051534985,6147499.972744273,8.41008560214726,198.023405041538,0.256976563079747,0.110219622225693,0.852440670302869,0.0365320024492166,0,8.07705022221917e-4,0.0656158811688465,0.015527588666746325,Low-low,0.04473625550928367,8.084712317106615e-238,2,1990s
