response,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF86_2,BF86,492500.04401167773,6182499.743979233,62.04321815988862,54.63588077510749,7.40733738478113,3.615448042617343,0.5416723683510565,6.674603051330432,6.674603051330432,0.1934193411342701,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF87_2,BF87,492500.07761814806,6187499.77211941,51.750864049754355,61.837736107203824,-10.086872057449469,3.5185414361075704,0.5416279710866225,6.496232882966915,6.496232882966915,0.19086551498937415,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF88_2,BF88,492500.07324634277,6192499.725767915,44.06178881502932,61.549774314506635,-17.48798549947732,3.446291421075591,0.5415546432328843,6.363700254700956,6.363700254700956,0.18900435665078238,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF89_2,BF89,492500.0313184269,6197499.716196409,40.7540072468614,60.98231047831401,-20.228303231452614,3.398351124097914,0.5413026172137243,6.278098453671677,6.278098453671677,0.18806959776167856,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF90_2,BF90,497500.06872812915,6152499.8867905075,70.5698190351612,62.224336114250676,8.345482920910527,4.581685502869264,0.5414677532051941,8.461603624127534,8.461603624127534,0.20860310642512725,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF91_2,BF91,497500.05965140025,6157499.795699069,57.74958191788361,63.28460718672574,-5.535025268842126,4.398443381585684,0.5373836358142143,8.184922443574976,8.184922443574976,0.20550914328186348,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF92_2,BF92,497500.05900778656,6162499.852742528,65.38433472737061,63.6887401414933,1.6955945858773163,4.216519399861781,0.5344159133877546,7.88995854021737,7.88995854021737,0.20219711502846321,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF93_2,BF93,497500.06666914717,6167499.835318215,64.92995751041127,63.419005380392036,1.5109521300192341,4.0415256627997636,0.5324517924029062,7.590406719377783,7.590406719377783,0.19873327901880827,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF94_2,BF94,497500.0197826457,6172499.743439123,46.36536462277905,53.474026360940705,-7.108661738161658,3.8776178360752223,0.5313853216957024,7.297186575837973,7.297186575837973,0.19497786749324542,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF95_2,BF95,497500.0442688116,6177499.79959253,53.43363706418747,62.86736037363541,-9.433723309447934,3.731544191600632,0.5310056990625854,7.0273147692918165,7.0273147692918165,0.1911432643580294,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF96_2,BF96,497500.077070528,6182499.781207959,59.887886624444356,59.3316137233176,0.5562729011267535,3.6097124749963068,0.530934751198501,6.798787359177288,6.798787359177288,0.18780175223825316,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF97_2,BF97,497500.0556179109,6187499.799593099,63.77530644108001,60.33011474821493,3.4451916928650803,3.513088163695953,0.5309477824446212,6.6166359100715795,6.6166359100715795,0.18511166134383333,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF98_2,BF98,497500.0426321929,6192499.743392498,52.4237991622708,50.778737591457066,1.6450615708137306,3.440767239512072,0.5309512585349316,6.480382491240864,6.480382491240864,0.18317096270974328,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BF99_2,BF99,497500.03818358126,6197499.723877846,61.14088145760744,56.276523818745375,4.864357638862067,3.3919990414774834,0.5307931166623723,6.390435246798936,6.390435246798936,0.18215782345107565,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG27_2,BG27,462500.03912906913,6137499.887313023,60.182141726235756,61.51735164090468,-1.3352099146689227,5.516847289616182,0.68866117936368,8.010974707059464,8.010974707059464,0.24488555337524695,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG28_2,BG28,462500.0656512389,6142499.951349777,68.0742048135987,63.554427845816896,4.519776967781802,5.358450912729053,0.6808271450032259,7.870501274892121,7.870501274892121,0.24538598314517057,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG29_2,BG29,462500.0848712415,6147499.9416772155,72.56226365373612,59.217911509279936,13.344352144456188,5.1885530154640085,0.6741746649066463,7.696155440938251,7.696155440938251,0.24548627847495103,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG30_2,BG30,467499.9967437505,6102499.680064469,32.97831373233843,62.50956061926775,-29.531246886929324,6.312684251506039,0.7662855043018525,8.238031668441126,8.238031668441126,0.24057530281814254,TRUE,Positive
