Species,atlas,period,PC1,PC2
Chlidonias_niger,1,1970s,-0.06613385657735216,0.2633849704590435
Chloris_chloris,1,1970s,0.20613558663372958,-0.07875194547368027
Chroicocephalus_ridibundus,1,1970s,-0.19995981390193535,-0.010639574286033678
Cinclus_cinclus,1,1970s,0.148195007869698,-0.14751255995865636
Circus_aeruginosus,1,1970s,-0.30671348906102797,0.3832434493188797
Circus_pygargus,1,1970s,-0.20721407088008287,0.8995554144482251
Coccothraustes_coccothraustes,1,1970s,0.37518949965267306,-0.038333846756004986
Coloeus_monedula,1,1970s,0.4499268938863022,-0.25700065714612225
Columba_oenas,1,1970s,-0.11251688355202051,-0.035996162392012615
Columba_palumbus,1,1970s,0.4755965646034155,-0.07398812871299294
Corvus_corax,1,1970s,0.10697424539716717,0.6353070608863715
Corvus_cornix,1,1970s,0.37380740346227176,-0.03995527931486024
Corvus_corone,1,1970s,-0.15285247869717675,0.6354765436605119
Corvus_frugilegus,1,1970s,0.1338344801827151,-0.3874456107584937
Coturnix_coturnix,1,1970s,-0.019584763520472788,-0.022365431214119862
Crex_crex,1,1970s,0.01809074310860558,-0.04320164410280032
Cuculus_canorus,1,1970s,0.02726939014032745,0.053768443198013494
Curruca_communis,1,1970s,0.03372194399712963,-0.11010731746852365
Curruca_curruca,1,1970s,0.2031711075121421,-0.06908431955928458
Cyanistes_caeruleus,1,1970s,0.33213457548532954,-0.0558962615887036
Cygnus_olor,1,1970s,-0.14818120363008722,0.01861001545232493
Delichon_urbicum,1,1970s,0.3486712287212097,-0.07194986353794236
Dendrocopos_major,1,1970s,0.5445435353165692,-0.017289725908321767
Dryobates_minor,1,1970s,-0.1153700812203864,-0.16940513692605988
Dryocopus_martius,1,1970s,0.29649114428781,-0.1068583629098762
Emberiza_calandra,1,1970s,0.29499686609333553,0.13889413541404233
Emberiza_citrinella,1,1970s,0.4053034507193707,-0.11193709212878923
Emberiza_schoeniclus,1,1970s,-0.16714870539402646,-0.11477134442429972
Erithacus_rubecula,1,1970s,0.3864717445134646,-0.09252944051984166
Falco_tinnunculus,1,1970s,0.12233629085856157,0.009267920455928485
Ficedula_hypoleuca,1,1970s,0.1150351778623706,-0.37867466286366713
Ficedula_parva,1,1970s,-0.18132027745780407,-0.21445813128458843
Fringilla_coelebs,1,1970s,0.5904217441891232,-0.04613732015396261
Fulica_atra,1,1970s,0.21093658072248847,-0.2662340255726193
Gallinago_gallinago,1,1970s,0.07914996536699057,0.06788481625534956
Gallinula_chloropus,1,1970s,0.2070054199256318,-0.19167303720132667
Garrulus_glandarius,1,1970s,0.3221608989378587,-0.03736475405645085
Haematopus_ostralegus,1,1970s,-1.3698819821054875,0.07591096331769627
Hippolais_icterina,1,1970s,0.12521796436375343,0.005387753195164313
Hirundo_rustica,1,1970s,0.48867033474978616,0.05965936937241856
Jynx_torquilla,1,1970s,0.06011750582919373,0.015428671914650508
Lanius_collurio,1,1970s,0.06336389367112041,-0.19403951596935312
Lanius_excubitor,1,1970s,0.21047283539769016,0.5888442721016496
Larus_argentatus,1,1970s,-0.7246739097119677,-0.03650939900016012
Larus_canus,1,1970s,-0.6721119981212149,-0.09582621560896086
Larus_fuscus,1,1970s,-1.027822645996472,-0.39847856649924274
Larus_marinus,1,1970s,-1.0952647686143782,-0.16121097838645257
Limosa_limosa,1,1970s,-0.5671966488438379,0.5507096391244921
Linaria_cannabina,1,1970s,0.035129407834487474,-0.07143893407154171
Locustella_luscinioides,1,1970s,-0.08022078745345891,0.18820952044013456
Locustella_naevia,1,1970s,0.07487830628737967,0.13886936315571616
Lophophanes_cristatus,1,1970s,0.0700824476845865,0.09883591249371958
Loxia_curvirostra,1,1970s,0.14921583396706156,0.1641339907756566
Lullula_arborea,1,1970s,0.03392214620368178,0.27326993051161785
Luscinia_luscinia,1,1970s,0.20398648932247634,-0.5047053125034314
Mareca_strepera,1,1970s,-0.46476741460464616,-0.06719360958853932
Mergus_merganser,1,1970s,-0.6233304385084057,-0.033313796662506424
Mergus_serrator,1,1970s,-1.057345388955238,-0.19695277545463863
Motacilla_alba,1,1970s,0.02198854645201261,-0.05593963402637834
Motacilla_cinerea,1,1970s,0.26515453706382003,0.21644352374301337
Motacilla_flava,1,1970s,-0.33200413916344035,0.013492651472975513
Muscicapa_striata,1,1970s,0.2518414493064195,0.05424297741336913
Numenius_arquata,1,1970s,0.03126016918613601,0.4223649171948673
Oenanthe_oenanthe,1,1970s,-0.15800485624295751,-0.3097510597331441
Oriolus_oriolus,1,1970s,-0.2749906315883721,0.12014800042369912
Panurus_biarmicus,1,1970s,-0.14459534663998264,0.28962975343121944
Parus_major,1,1970s,0.5034680400978933,-0.16895065124069072
Passer_domesticus,1,1970s,0.6079750465243171,-0.15065673422999448
Passer_montanus,1,1970s,0.3633351409124388,-0.14444701904765472
Perdix_perdix,1,1970s,0.1970956170333257,-0.04384519536667156
Periparus_ater,1,1970s,0.4536351759511482,-0.08419662728626845
Pernis_apivorus,1,1970s,0.304872601737124,0.01584085278236368
Phoenicurus_ochruros,1,1970s,0.03265835454178593,-0.0829903757706327
Phoenicurus_phoenicurus,1,1970s,0.09791091993207941,0.03882019791147314
Phylloscopus_collybita,1,1970s,0.24272308499190415,0.08828179029415482
Phylloscopus_sibilatrix,1,1970s,0.23883735602543066,-0.16526967434740533
Phylloscopus_trochilus,1,1970s,0.21318506466157958,-0.09591493468756875
Pica_pica,1,1970s,0.5167862212979304,-0.11234337236302373
Picus_viridis,1,1970s,0.2831490826313538,0.15903240083570744
Podiceps_cristatus,1,1970s,0.1714422942101114,-0.04970353609718804
Podiceps_grisegena,1,1970s,0.19843150687312022,-0.2745934416715353
Podiceps_nigricollis,1,1970s,0.29253815309556086,-0.03118559081041764
Poecile_palustris,1,1970s,0.3363202874553898,-0.003981043540568468
Porzana_porzana,1,1970s,-0.14182972292004872,-0.0334326304452833
Prunella_modularis,1,1970s,0.2427679840446677,-0.08787389334791997
